input,source
Paula burned a girl.,recogs
A boy hoped that Liam hoped that the hippo drew.,recogs
A chicken wanted to crawl.,recogs
The duck on a boat was given a cake in the room.,recogs
Charlotte served a girl Paula.,recogs
A girl returned Lina to a teacher.,recogs
The baby proved that Mason squeezed a ball beside the key.,recogs
The girl sketched Paula.,recogs
Emma shattered the cake in a house.,recogs
The professor liked Lina.,recogs
Noah ate Paula.,recogs
A girl enjoyed to crawl.,recogs
The child liked that a hippo cooked.,recogs
Addison rolled the shark.,recogs
The girl teleported a bat to Elizabeth.,recogs
A liver was blessed by Mia.,recogs
Emma expected that the hippo sketched.,recogs
Liam shipped the cat the melon.,recogs
A cat liked that a girl liked that the customer offered Paula to a boy.,recogs
A patient rolled Lina.,recogs
Amelia respected that a cockroach attempted to walk.,recogs
Nathan examined a hedgehog.,recogs
Charlie needed to dust.,recogs
A girl touched Paula.,recogs
Olivia shattered the strawberry.,recogs
The hero confessed that a hippo ate.,recogs
Charlie gave Emma a book beside the stage.,recogs
The girl declared that a tiger squeezed a lion.,recogs
The captain awarded the hedgehog on the stool to the girl.,recogs
A hen liked that the cobra shortened.,recogs
Logan confessed that a hippo laughed.,recogs
Emma believed that Noah gave Liam Paula.,recogs
The boy believed that Benjamin supported that the girl liked that Lucas noticed that the cake slid.,recogs
The girl shipped Emma the cake.,recogs
A shark gave a cat the cake.,recogs
A girl thought that the cobra rolled.,recogs
The child liked that a hippo dusted.,recogs
Paula rolled the hamburger in a car.,recogs
A girl liked that Elijah said that Liam noticed that Emma liked that a bird liked that Oliver hoped that the lion dreamed that the chicken liked that a cake crumpled.,recogs
The mouse shattered the lollipop.,recogs
Elizabeth squeezed the strawberry beside a crystal.,recogs
A landlord wanted to crawl.,recogs
The girl in a house ate.,recogs
A boy decomposed Lina.,recogs
The boy declared that Natalie said that Gabriel hoped that a doctor liked that Liam ate a donut.,recogs
Emma burned the hedgehog.,recogs
Logan gave the cat Paula.,recogs
Emma posted a shark to Olivia.,recogs
The cockroach rolled a drink in a coffin.,recogs
The frog in a room juggled.,recogs
Emma baked Luke.,recogs
Emma baked the block beside the table.,recogs
The goose lended Alexander a donut beside a glass on the piano beside the stage on the speaker beside the chair in the house beside a toy on the bed beside a seat in the cabinet in the storage on the plate.,recogs
Liam gave Paula to Oliver.,recogs
The girl wished that a crocodile declared that the boy admired that Emma liked that Evelyn was passed a drink.,recogs
Emma liked that Paula adored Harper.,recogs
Paula froze a boy.,recogs
Joshua liked that Mason hoped that Amelia awarded the shark beside the stage in the tent to a cat.,recogs
James rolled Lina.,recogs
A puppy liked Lina.,recogs
A priest liked that a hippo ate.,recogs
A cake was blessed by a dog.,recogs
William squeezed the drink in a house.,recogs
A coach longed to crawl.,recogs
Olivia teleported the sandwich beside a chair to Liam.,recogs
The shark enjoyed to giggle.,recogs
A girl squeezed a donut.,recogs
Emma liked the hedgehog on a chair.,recogs
The boy liked that a cobra changed.,recogs
Asher teleported the doll to the politician.,recogs
Asher teleported a cake to Ava.,recogs
Luna hoped that the hippo slept.,recogs
The donut on the box was eaten by the girl on a table.,recogs
A shark sold a cat the fig.,recogs
Olivia squeezed the cookie in the cot beside the computer.,recogs
Joshua believed that a girl attempted to crawl.,recogs
Liam teleported a seed on the table to the boy.,recogs
The fly beside the bed meant that the girl on the stool slept.,recogs
Emma liked that the cobra improved.,recogs
The cow liked that Liam said that the student liked that the horse believed that Sophia admired that Emma hoped that Charlotte liked that the girl tolerated that Michael admired that the bear hoped that Jayden dreamed that the professor ate a donut in the room.,recogs
Audrey respected that Mason confessed that Michael liked that Emma believed that Christopher liked that the dog liked that the writer hoped that Liam dreamed that a frog proved that a squirrel painted a girl beside the skull.,recogs
The donut was blessed by Elizabeth.,recogs
The sheep hunted Paula.,recogs
The baby ate a donut beside the road in a garden beside a table beside a computer.,recogs
The monkey said that a frog liked that Noah noticed that Joshua hoped that Olivia noticed that Nathan liked that William liked that a giraffe liked that Oliver liked that the dog liked that the cat proved that a girl confessed that a cake shortened.,recogs
The girl liked that the tiger baked Emma.,recogs
Isabella tolerated that a hippo cleaned.,recogs
Madison proved that Theodore said that a girl liked that the cat was returned a cake beside the table.,recogs
The duke handed a shark beside a table to Noah.,recogs
Olivia liked that a dog tolerated that Liam ate a hedgehog.,recogs
The boy shipped the cat the donut beside a whale.,recogs
Isabella crumpled the shark.,recogs
Anthony wanted to crawl.,recogs
William promised a shark to the goose.,recogs
The cockroach gave the cake in the house to Emma.,recogs
James liked that a hippo gasped.,recogs
Asher hoped that a cobra burned.,recogs
The shark passed the cake beside the table to a teacher.,recogs
Noah drew Lina.,recogs
A cat teleported the donut to the visitor.,recogs
Ireland does not share the English language with Great Britain.,feverrefuted
Hawaii is not a state.,feverrefuted
"Kapil Sharma died April 2, 1981.",feverrefuted
Jack Black can't act.,feverrefuted
Anni-Frid Lyngstad is only Irish.,feverrefuted
Mike Pence did not increase a state's budget surplus.,feverrefuted
"Adele does not sing the song ""Hello.""",feverrefuted
"Perth is the smallest city in Western Australia, the capitol of which is Brunswick.",feverrefuted
Boeing 737s main replacement is the Airbus A320 family.,feverrefuted
