,filenames,page_num,sent_num,text,confidence_rating
0,data/raw/IPCC_AR6_WGI_FullReport.pdf,20,22,"Since 2011 (measurements reported in AR5), concentrations have continued to increase in the atmosphere, reaching annual averages of 410 parts per million (ppm) for carbon dioxide (CO 2), 1866 parts per billion (ppb) for methane (CH 4), and 332 ppb for nitrous oxide (N 2O) in 2019.6 Land and ocean have taken up a near-constant proportion (globally about 56% per year) of CO 2 emissions from human activities over the past six decades, with regional differences ",high
1,data/raw/IPCC_AR6_WGI_FullReport.pdf,21,8,"Mid-latitude storm tracks have likely shifted poleward in both hemispheres since the 1980s, with marked seasonality in trends ",medium
2,data/raw/IPCC_AR6_WGI_FullReport.pdf,21,18,"The average rate of sea level rise was 1.3 [0.6 to 2.1] mm yr–1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr–1 between 1971 and 2006, and further increasing to 3.7 [3.2 to 4.2] mm yr–1 between 2006 and 2018 ",high
3,data/raw/IPCC_AR6_WGI_FullReport.pdf,24,4,"Temperatures during the most recent decade (2011–2020) exceed those of the most recent multi-century warm period, around 6500 years ago13 [0.2°C to 1°C relative to 1850–1900] ",medium
4,data/raw/IPCC_AR6_WGI_FullReport.pdf,24,5,"Prior to that, the next most recent warm period was about 125,000 years ago, when the multi-century temperature [0.5°C to 1.5°C relative to 1850–1900] overlaps the observations of the most recent decade ",medium
5,data/raw/IPCC_AR6_WGI_FullReport.pdf,24,7,Late summer Arctic sea ice area was smaller than at any time in at least the past 1000 years ,medium
6,data/raw/IPCC_AR6_WGI_FullReport.pdf,24,8,"The global nature of glacier retreat since the 1950s, with almost all of the world’s glaciers retreating synchronously, is unprecedented in at least the last 2000 years ",medium
7,data/raw/IPCC_AR6_WGI_FullReport.pdf,24,10,"The global ocean has warmed faster over the past century than since the end of the last deglacial transition (around 11,000 years ago) ",medium
8,data/raw/IPCC_AR6_WGI_FullReport.pdf,24,11,A long-term increase in surface open ocean pH occurred over the past 50 million years ,high
9,data/raw/IPCC_AR6_WGI_FullReport.pdf,24,12,"However, surface open ocean pH as low as recent decades is unusual in the last 2 million years ",medium
10,data/raw/IPCC_AR6_WGI_FullReport.pdf,24,17,Marine heatwaves have approximately doubled in frequency since the 1980s ,high
11,data/raw/IPCC_AR6_WGI_FullReport.pdf,24,19,Human-induced climate change has contributed to increases in agricultural and ecological droughts15 in some regions due to increased land evapotranspiration16 ,medium
12,data/raw/IPCC_AR6_WGI_FullReport.pdf,25,1,"Over South Asia, East Asia and West Africa, increases in monsoon precipitation due to warming from GHG emissions were counteracted by decreases in monsoon precipitation due to cooling from human-caused aerosol emissions over the 20th century ",high
13,data/raw/IPCC_AR6_WGI_FullReport.pdf,25,2,Increases in West African monsoon precipitation since the 1980s are partly due to the growing influence of GHGs and reductions in the cooling effect of human-caused aerosol emissions over Europe and North America ,medium
