,Unnamed: 0.1,Unnamed: 0,statement_idx,report,page_num,sent_num,original_statement,final_statement,confidence,score,split,context,has_confidence_in_final_statement,raw_output_1,model_confidence_classification_1,model_logprobs1,raw_output_2,model_confidence_classification_2,model_logprobs2,raw_output_3,model_confidence_classification_3,model_logprobs3,raw_output_4,model_confidence_classification_4,model_logprobs4,raw_output_5,model_confidence_classification_5,model_logprobs5
3,3,0,3,AR6_WGI,24,2,"Since 1750, increases in CO 2 (47%) and CH 4 (156%) concentrations far exceed – and increases in N 2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years ","Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years",very high,3,test,"Estimates account for both direct emissions into the atmosphere and their effect, if any, on other climate drivers. For aerosols, both direct effects (through radiation) and indirect effects (through interactions with clouds) are considered. {Cross-Chapter Box 2.3, 3.3.1, 6.4.2, 7.3}Observed warming is driven by emissions from human activities, with greenhouse gas warming partly masked by aerosol cooling ºC –0.5 –1.00.00.51.01.52.0ºC –0.5 –1.00.00.51.01.52.0ºC –0.5 –1.00.00.51.01.52.0 Halogenated gases Nitrogen oxides Sulphur dioxide Volatile organic compoundsand carbon monoxide Organic carbon Black carbon Ammonia Land-use reﬂectanceand irrigation Aviation contrails Total human inﬂuence Well-mixed greenhouse gases Other human drivers Solar and volcanic drivers Internal variability Carbon dioxide Methane Nitrous oxide Mainly contribute to changes in non-CO₂ greenhouse gasesMainly contribute to changes in anthropogenic aerosols (b) Aggregated contributions to 2010– 2019 warming relative to 1850– 1900, assessed from attribution studies (a) Observed warming 2010– 2019 relative to 1850– 1900 Contributions to warming based on two complementary approaches Observed warming (c) Contributions to 2010– 2019 warming relative to 1850– 1900, assessed from radiative forcing studies 8SPM Summary for PolicymakersA.2 The scale of recent changes across the climate system as a whole – and the present state of many aspects of the climate system – are unprecedented over many centuries to many thousands of years. {2.2, 2.3, Cross-Chapter Box 2.1, 5.1} (Figure SPM.1) A.2.1 In 2019, atmospheric CO 2 concentrations were higher than at any time in at least 2 million years (high confidence), and concentrations of CH 4 and N 2O were higher than at any time in at least 800,000 years (very high confidence). Since 1750, increases in CO 2 (47%) and CH 4 (156%) concentrations far exceed – and increases in N 2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). {2.2, 5.1, TS.2.2} A.2.2 Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence).",False,very high,very high,"[('very', -0.3247569, 72.27), ('Very', -1.8625815, 15.53), ('high', -2.3673975, 9.37), ('High', -3.5933077, 2.75), ('medium', -8.032442, 0.03)]",very high,very high,"[('very', -0.104517154, 90.08), ('high', -2.623215, 7.26), ('Very', -3.761452, 2.32), ('High', -5.7983437, 0.3), (' very', -8.635714, 0.02)]",very high,very high,"[('very', -0.104140945, 90.11), ('Very', -2.6792943, 6.86), ('high', -3.6324098, 2.65), ('High', -5.669742, 0.34), (' very', -8.252956, 0.03)]",very high,very high,"[('very', -0.3247569, 72.27), ('Very', -1.8625815, 15.53), ('high', -2.3673975, 9.37), ('High', -3.5933077, 2.75), ('medium', -8.032442, 0.03)]",very high,very high,"[('very', -0.2690393, 76.41), ('high', -2.021231, 13.25), ('Very', -2.4931815, 8.26), ('High', -3.9098227, 2.0), ('medium', -8.041351, 0.03)]"
42,42,1,42,AR6_WGI,37,16,"Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia ","Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia",low,0,test,"Continued ice loss over the 21st century is virtually certain for the Greenland Ice Sheet and likely for the Antarctic Ice Sheet. There is high confidence that total ice loss from the Greenland Ice Sheet will increase with cumulative emissions. There is limited evidence for low-likelihood, high-impact outcomes (resulting from ice-sheet instability processes characterized by deep uncertainty and in some cases involving tipping points) that would strongly increase ice loss from the Antarctic Ice Sheet for centuries under high GHG emissions scenarios.34 {4.3, 4.7, 5.4, 9.4, 9.5, Box 9.4, Box TS.1, TS.2.5} B.5.3 It is virtually certain that global mean sea level will continue to rise over the 21st century. Relative to 1995–2014, the likely global mean sea level rise by 2100 is 0.28–0.55 m under the very low GHG emissions scenario (SSP1-1.9); 0.32–0.62 m under the low GHG emissions scenario (SSP1-2.6); 0.44–0.76 m under the intermediate GHG emissions scenario (SSP2-4.5); and 0.63–1.01 m under the very high GHG emissions scenario (SSP5-8.5); and by 2150 is 0.37–0.86 m under the very low scenario (SSP1-1.9); 0.46–0.99 m under the low scenario (SSP1-2.6); 0.66–1.33 m under the intermediate scenario (SSP2-4.5); and 0.98–1.88 m under the very high scenario (SSP5-8.5) (medium confidence).35 Global mean sea level rise above the likely range – approaching 2 m by 2100 and 5 m by 2150 under a very high GHG emissions scenario (SSP5-8.5) (low confidence) – cannot be ruled out due to deep uncertainty in ice-sheet processes. {4.3, 9.6, Box 9.4, Box TS.4} (Figure SPM.8) B.5.4 In the longer term, sea level is committed to rise for centuries to millennia due to continuing deep-ocean warming and ice-sheet melt and will remain elevated for thousands of years (high confidence). Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia (low confidence). Projections of multi-millennial global mean sea level rise are consistent with reconstructed levels during past warm climate periods: likely 5–10 m higher than today around 125,000 years ago, when global temperatures were very likely 0.5°C–1.5°C higher than 1850–1900; and very likely 5–25 m higher roughly 3 million years ago, when global temperatures were 2.5°C–4°C higher (medium confidence).",False,very high,very high,"[('very', -0.58876884, 55.5), ('high', -0.94710624, 38.79), ('Very', -3.6540518, 2.59), ('medium', -4.0924196, 1.67), ('High', -4.2895956, 1.37)]",high,high,"[('high', -0.42529938, 65.36), ('very', -1.2336051, 29.12), ('medium', -3.275523, 3.78), ('High', -4.7431245, 0.87), ('Very', -4.8533025, 0.78)]",high,high,"[('high', -0.63103455, 53.2), ('very', -0.8690488, 41.94), ('medium', -3.757778, 2.33), ('Very', -4.397962, 1.23), ('High', -4.425184, 1.2)]",high,high,"[('high', -0.7519598, 47.14), ('very', -0.7545252, 47.02), ('medium', -3.6791162, 2.52), ('Very', -4.0096045, 1.81), ('High', -4.2839518, 1.38)]",high,high,"[('high', -0.66605824, 51.37), ('very', -0.9095656, 40.27), ('medium', -3.3559062, 3.49), ('Very', -3.7502906, 2.35), ('High', -3.7655284, 2.32)]"
77,77,2,77,AR6_WGI,47,7,"By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios ","By the end of the century, scenarios with very low and low greenhouse gas (GHG) emissions would strongly limit the change of several climactic impact drivers (CIDs), such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios",high,2,test,"{6.6, 6.7, Box TS.7}. D.2.3 Scenarios with very low or low GHG emissions (SSP1-1.9 and SSP1-2.6) would have rapid and sustained effects to limit human-caused climate change, compared with scenarios with high or very high GHG emissions (SSP3-7.0 or SSP5-8.5), but early responses of the climate system can be masked by natural variability. For global surface temperature, differences in 20-year trends would likely emerge during the near term under a very low GHG emissions scenario (SSP1-1.9), relative to a high or very high GHG emissions scenario (SSP3-7.0 or SSP5-8.5). The response of many other climate variables would emerge from natural variability at different times later in the 21st century (high confidence). {4.6, Cross-Section Box TS.1} (Figure SPM.8, Figure SPM.10) D.2.4 Scenarios with very low and low GHG emissions (SSP1-1.9 and SSP1-2.6) would lead to substantially smaller changes in a range of CIDs36 beyond 2040 than under high and very high GHG emissions scenarios (SSP3-7.0 and SSP5-8.5). By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios (high confidence). Changes would also be smaller in very low compared to low GHG emissions scenarios, as well as for intermediate (SSP2-4.5) compared to high or very high GHG emissions scenarios (high confidence).",False,high,high,"[('high', -0.11569535, 89.07), ('High', -2.8378003, 5.86), ('very', -3.1666691, 4.21), ('medium', -5.385036, 0.46), ('Very', -5.719648, 0.33)]",high,high,"[('high', -0.14063762, 86.88), ('High', -2.686416, 6.81), ('very', -2.9501488, 5.23), ('medium', -5.4236765, 0.44), ('Very', -5.4328737, 0.44)]",high,high,"[('high', -0.121075235, 88.6), ('High', -2.9502168, 5.23), ('very', -2.9790254, 5.08), ('medium', -5.154927, 0.58), ('Very', -5.709269, 0.33)]",high,high,"[('high', -0.13215022, 87.62), ('High', -2.5396762, 7.89), ('very', -3.3465476, 3.52), ('medium', -5.3685203, 0.47), ('Very', -5.749227, 0.32)]",high,high,"[('high', -0.0548078, 94.67), ('very', -3.5717852, 2.81), ('High', -4.0761147, 1.7), ('medium', -4.955406, 0.7), ('Very', -7.224386, 0.07)]"
81,81,3,81,AR6_WGI,62,2,"Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions ","Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions",medium,1,test,"{1.3.2, 1.5.1, Cross-Chapter Boxes 2.1 and 2.4} Global surface temperature. Since AR5, updated climate forcings, improved models, new understanding of the strengths and weaknesses of a growing array of proxy records, better chronologies and more robust proxy data products have led to better agreement between models and reconstructions. For global surface temperature, the mid-point of the AR6-assessed range and the median of the model-simulated temperatures differ by an average of 0.5°C across five reference periods; they overlap within their lower 1850–1900Reference period (*See Interactive Atlas for climate model output) Recent past Approximate pre-industrial Last Millennium Mid-Holocene* Last Deglacial Transition Last Glacial Maximum* Last Interglacial* Mid-Pliocene Warm Period* Early Eocene Paleocene-Eocene Thermal Maximum X to Y: very likely range (caveats in Figure 2.34) X Y: start to end of period, with no stated uncertainty X ~ Y: lowest and highest values, with not stated uncertainty1995–2014 CE 1850–1900 CE 850–1850 CE 6.5–5.5 ka 18–11 ka 23–19 ka 129–116 ka 3.3–3.0 Ma 53–49 Ma 55.9–55.7 Ma360 286 278 260 193 188 266 360 1150 900397 296 285 268 271 194 282 420 2500 2000CO 2 (ppm)Temperature (°C)Sea level (m) Age 0.66 –0.15 –0.14 0.2 –5 0.5 2.5 10 10not assessed1.00 +0.11 0.24 1.0 –7 1.5 4.0 18 25to to to to to toto to ~ to to to to to to0.15 –0.03 –0.05 –3.5 –120 –134 5 5 700.25 0.00 0.03 +0.5 –50 –125 10 25 76to to to to to to to to not assessed higherThree selected global climate indicators covary across multiple paleoclimate reference periods (a)(b) 2000 1000 500 200 100Atmospheric CO 2 (ppm) –10 –5 0 5 10 15 20Early Eocene Mid-Pliocene Recent past 1850–1900Last Interglacial Mid-Holocene Last Glacial Maximum Global surface temperature (°C) relative to 1850–1900 46 Technical Summary TSBox TS.2 (continued) 90% ranges in four of five cases, which together span from about 6 [5 to 7]°C colder during the Last Glacial Maximum to about 14 [10 to 18] °C warmer during the Early Eocene, relative to 1850–1900 (Box TS.2, Figure 2a). Changes in temperature by latitude in response to multiple forcings show that polar amplification (stronger warming at high latitudes than the global average) is a prominent feature of the climate system across multiple climate states, and the ability of models to simulate this polar amplification in past warm climates has improved since AR5 (high confidence). Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions (medium confidence), except for some short periods immediately following large volcanic eruptions, for which different forcing datasets disagree (Box TS.2, Figure 2b). {2.3.1.1, 3.3.3.1, 3.8.2.1, 7.4.4.1.2} Box TS.2, Figure 2 | Global surface temperature as estimated from proxy records (reconstructed) and climate models (simulated).",False,high,high,"[('high', -0.14037918, 86.9), ('medium', -2.5218947, 8.03), ('High', -3.6564448, 2.58), ('very', -3.8245413, 2.18), ('Medium', -6.419956, 0.16)]",high,high,"[('high', -0.22484547, 79.86), ('High', -2.1359763, 11.81), ('medium', -3.00777, 4.94), ('very', -3.7326293, 2.39), ('Medium', -5.188661, 0.56)]",high,high,"[('high', -0.13238521, 87.6), ('medium', -2.5916615, 7.49), ('very', -3.6605282, 2.57), ('High', -3.8743477, 2.08), ('Medium', -6.6805305, 0.13)]",high,high,"[('high', -0.14037918, 86.9), ('medium', -2.5218947, 8.03), ('High', -3.6564448, 2.58), ('very', -3.8245413, 2.18), ('Medium', -6.419956, 0.16)]",high,high,"[('high', -0.33323786, 71.66), ('High', -1.8348897, 15.96), ('medium', -2.4002583, 9.07), ('very', -4.2280474, 1.46), ('Medium', -4.2489176, 1.43)]"
86,86,4,86,AR6_WGI,63,8,"This paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment (see Core Concepts Box), essentially irreversible on human time scales ","The paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment, essentially irreversible on human time scales",high,2,test,"For example, under a past global warming levels of around [2.5°C to 4°C] relative to 1850–1900, like during the mid-Pliocene Warm Period, sea level was [5 to 25 m] higher than 1900 (medium confidence); under past global warming levels of [10°C to 18°C], like during the Early Eocene, the planet was essentially ice free (high confidence). Constraints from these past warm periods, combined with physical understanding, glaciology and modelling, indicate a committed long-term GMSL rise over 10,000 years, reaching about 8 to 13 m for sustained peak global warming of 2°C and up to 28 to 37 m for 5°C, which exceeds the AR5 estimate. {2.3.3.3, 9.4.1.4, 9.4.2.6, 9.6.2, 9.6.3.5} Ocean. Since AR5, better integration of paleo-oceanographic data with modelling along with higher-resolution analyses of transient changes have improved understanding of long-term ocean processes. Low-latitude sea surface temperatures at the Last Glacial Maximum cooled more than previously inferred, resolving some inconsistencies noted in AR5. This paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment (see Core Concepts Box), essentially irreversible on human time scales (high confidence). Estimates of past global OHC variations generally track those of sea surface temperatures around Antarctica, underscoring the importance of Southern Ocean processes in regulating deep-ocean temperatures.",False,high,high,"[('high', -0.45465788, 63.47), ('very', -1.378055, 25.21), ('High', -2.553325, 7.78), ('Very', -3.4272702, 3.25), ('medium', -6.242536, 0.19)]",high,high,"[('high', -0.63526654, 52.98), ('very', -1.3627408, 25.6), ('High', -1.928941, 14.53), ('Very', -2.752828, 6.37), ('medium', -5.822156, 0.3)]",high,high,"[('high', -0.70465946, 49.43), ('very', -1.2008486, 30.09), ('High', -2.0301867, 13.13), ('Very', -2.6889868, 6.79), ('medium', -5.6985636, 0.34)]",high,high,"[('high', -0.3408027, 71.12), ('very', -1.4998107, 22.32), ('High', -3.1161647, 4.43), ('Very', -4.0740333, 1.7), ('medium', -5.6970286, 0.34)]",high,high,"[('high', -0.63526654, 52.98), ('very', -1.3627408, 25.6), ('High', -1.928941, 14.53), ('Very', -2.752828, 6.37), ('medium', -5.822156, 0.3)]"
98,98,5,98,AR6_WGI,65,30,"These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks "," The higher equilibrium climate sensitivity (ECS) and transient climate response (TCR) sensitivities in the coupled model intercomparison project 6 (CMIP6) ensemble than CMIP5 can, in some models, be traced to changes in extratropical cloud feedbacks",medium,1,test,"Model performance is limited in reproducing sea surface temperature anomalies for decadal modes of variability, despite improvements from CMIP5 to CMIP6 (medium confidence) (see also Section TS.1.4.2.2, Table TS.4). {3.7.3–3.7.7} Earth system models (ESMs) simulate globally averaged land carbon sinks within the range of observation-based estimates (high confidence), but global-scale agreement masks large regional disagreements. There is also high confidence that the ESMs simulate the weakening of the global net flux of CO 2 into the ocean during the 1990s, as well as the strengthening of the flux from 2000. {3.6} Two important quantities used to estimate how the climate system responds to changes in greenhouse gas (GHG) concentrations are the equilibrium climate sensitivity (ECS) and transient climate response (TCR16). The CMIP6 ensemble has broader ranges of ECS and TCR values than CMIP5 (see Section TS.3.2 for the assessed range). These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks (medium confidence). To combine evidence from CMIP6 models and independent assessments of ECS and TCR, various emulators are used throughout the report.",False,high,high,"[('high', -0.50054693, 60.62), ('High', -1.7110534, 18.07), ('medium', -1.7781215, 16.9), ('Medium', -3.1747851, 4.18), ('very', -6.4591994, 0.16)]",high,high,"[('high', -0.51169205, 59.95), ('medium', -1.2609749, 28.34), ('High', -2.4640446, 8.51), ('Medium', -3.4906082, 3.05), ('very', -6.893795, 0.1)]",high,high,"[('high', -0.5015867, 60.56), ('medium', -1.2100751, 29.82), ('High', -2.6976793, 6.74), ('Medium', -3.6010969, 2.73), ('very', -6.8529797, 0.11)]",high,high,"[('high', -0.50054693, 60.62), ('High', -1.7110534, 18.07), ('medium', -1.7781215, 16.9), ('Medium', -3.1747851, 4.18), ('very', -6.4591994, 0.16)]",high,high,"[('high', -0.5015867, 60.56), ('medium', -1.2100751, 29.82), ('High', -2.6976793, 6.74), ('Medium', -3.6010969, 2.73), ('very', -6.8529797, 0.11)]"
151,151,6,151,AR6_WGI,85,31,Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980 ,"Model estimates suggest no significant change in the global mean abundance of hydroxyl (OH) radical, or ‘oxidizing capacity’, from 1850 to 1980",low,0,test,"Future changes in surface ozone concentrations will be primarily driven by changes in precursor emissions rather than climate change (high confidence). Stratospheric ozone has declined between 60°S–60°N by 2.2% from 1964–1980 to 2014–2017 (high confidence), with the largest declines during 1980–1995. The strongest loss of stratospheric ozone continues to occur in austral spring over Antarctica (ozone hole), with emergent signs of recovery after 2000. The 1750–2019 ERF for total (stratospheric and tropospheric) ozone is 0.47 [0.24 to 0.71] W m−2, which is dominated by tropospheric ozone changes. {2.2.5, 6.3.2, 7.3.2, 7.3.5} The global mean abundance of hydroxyl (OH) radical, or ‘oxidizing capacity’, chemically regulates the lifetimes of many SLCFs, and therefore the radiative forcing of CH 4, ozone, secondary aerosols and many halogenated species. Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980 (low confidence). Increases of about 9% over 1980–2014 computed by ESMs and carbon cycle models are not confirmed by observationally constrained inverse models, rendering an overall medium confidence in stable OH or positive trends since the 1980s, and implying that OH is not the primary driver of recent observed growth in CH 4.",False,High,high,"[('High', -0.74294156, 47.57), ('high', -1.1211078, 32.59), ('Medium', -2.2904403, 10.12), ('medium', -2.792155, 6.13), ('very', -3.9648273, 1.9)]",high,high,"[('high', -0.8219914, 43.96), ('High', -0.93753856, 39.16), ('medium', -2.7199712, 6.59), ('Medium', -2.8046308, 6.05), ('very', -3.6297364, 2.65)]",High,high,"[('High', -0.70318866, 49.5), ('high', -1.1624534, 31.27), ('Medium', -2.3070285, 9.96), ('medium', -2.8294723, 5.9), ('very', -4.064822, 1.72)]",high,high,"[('high', -0.796629, 45.08), ('High', -1.0080547, 36.49), ('medium', -2.5245419, 8.01), ('Medium', -2.685011, 6.82), ('very', -3.7719631, 2.3)]",High,high,"[('High', -0.65542805, 51.92), ('high', -1.4435235, 23.61), ('Medium', -1.9347783, 14.45), ('medium', -2.6205807, 7.28), ('Very', -4.3285046, 1.32)]"
157,157,7,157,AR6_WGI,87,27,Projected changes in the intensity depend on the resolution of climate models ,Projected changes in the intensity of extratopical cyclones in the Southern Hemisphere depend on the resolution of climate models,medium,1,test,"There is medium confidence that the average location where TCs reach their maximum wind-intensity will migrate poleward in the western North Pacific Ocean, while the total global frequency of TC formation will decrease or remain unchanged with increasing global warming. {11.7.1} There is low confidence in observed recent changes in the total number of extratropical cyclones over both hemispheres. There is also low confidence in past-century trends in the number and intensity of the strongest extratropical cyclones over the Northern Hemisphere due to the large interannual-to-decadal variability and temporal and spatial heterogeneities in the volume and type of assimilated data in atmospheric reanalyses, particularly before the satellite era. Over the Southern Hemisphere, it is likely that the number of extratropical cyclones with low central pressures (<980 hPa) has increased since 1979. The frequency of intense extratropical cyclones is projected to decrease (medium confidence). Projected changes in the intensity depend on the resolution of climate models (medium confidence). There is medium confidence that wind speeds associated with extratropical cyclones will change following changes in the storm tracks.",False,medium,medium,"[('medium', -0.38450876, 68.08), ('high', -1.3840586, 25.06), ('Medium', -3.1166866, 4.43), ('High', -3.7350338, 2.39), (' medium', -8.672601, 0.02)]",medium,medium,"[('medium', -0.14967006, 86.1), ('high', -2.5224347, 8.03), ('Medium', -2.9956365, 5.0), ('High', -4.8426595, 0.79), ('low', -7.768004, 0.04)]",medium,medium,"[('medium', -0.1887277, 82.8), ('Medium', -2.2215416, 10.84), ('high', -2.9335587, 5.32), ('High', -4.646024, 0.96), ('low', -7.6752276, 0.05)]",medium,medium,"[('medium', -0.38939103, 67.75), ('high', -1.3201429, 26.71), ('Medium', -3.351324, 3.5), ('High', -3.9160118, 1.99), (' medium', -8.673798, 0.02)]",medium,medium,"[('medium', -0.6248533, 53.53), ('Medium', -1.1406195, 31.96), ('high', -2.4598143, 8.55), ('High', -2.8262084, 5.92), (' medium', -9.143232, 0.01)]"
162,162,8,162,AR6_WGI,90,4,"A long-term increase in surface open ocean pH occurred over the past 50 million years (high confidence), and surface ocean pH as low as recent times is uncommon in the last 2 million years ","A long-term increase in surface open ocean pH occurred over the past 50 million years, and surface ocean pH as low as recent times is uncommon in the last 2 million years",medium,1,test,"{4.7, Figure 4.41}(a) Best estimate (scaled) (b) High-warming models (c) Very-high-warming models 4 3 2.5 2 –2 –2.5 –3 –4 1.5 1 0 –1 –1.5SSP1-2.6 (2081–2100) (d) Best estimate (scaled) (e) High-warming models (f) Very-high-warming modelsSSP5-8.5 (2081–2100) 8 6 5 4 –4 –5 –6 –8 3 2 0 –2 –3°C °C 74 Technical Summary TSTS.2.4 The Ocean Observations, models and paleo-evidence indicate that recently observed changes in the ocean are unprecedented for centuries to millennia (high confidence). Over the past four to six decades, it is virtually certain that the global ocean has warmed, with human influence extremely likely the main driver since the 1970s, making climate change irreversible over centuries to millennia (medium confidence). It is virtually certain that upper ocean salinity contrasts have increased since the 1950s and extremely likely that human influence has contributed. It is virtually certain that upper ocean stratification has increased since 1970 and that sea water pH has declined globally over the last 40 years, with human influence being the main driver of the observed surface open ocean acidification (virtually certain). A long-term increase in surface open ocean pH occurred over the past 50 million years (high confidence), and surface ocean pH as low as recent times is uncommon in the last 2 million years (medium confidence). There is high confidence that marine heatwaves have become more frequent in the 20th century, and most of those since 2006 have been attributed to anthropogenic warming (very likely).",False,high,high,"[('high', -0.47157314, 62.4), ('very', -1.3462965, 26.02), ('High', -2.6470778, 7.09), ('Very', -3.5857165, 2.77), ('medium', -4.196402, 1.5)]",high,high,"[('high', -0.4312151, 64.97), ('very', -1.5855634, 20.48), ('High', -2.2821672, 10.21), ('Very', -3.6688821, 2.55), ('medium', -4.200882, 1.5)]",high,high,"[('high', -0.56531644, 56.82), ('High', -1.2847836, 27.67), ('very', -2.2996266, 10.03), ('Very', -3.2024682, 4.07), ('medium', -4.7165575, 0.89)]",high,high,"[('high', -0.47157314, 62.4), ('very', -1.3462965, 26.02), ('High', -2.6470778, 7.09), ('Very', -3.5857165, 2.77), ('medium', -4.196402, 1.5)]",high,high,"[('high', -0.38681924, 67.92), ('very', -1.6100191, 19.99), ('High', -2.481584, 8.36), ('Very', -3.778318, 2.29), ('medium', -4.387346, 1.24)]"
165,165,9,165,AR6_WGI,90,14,"Ocean warming is irreversible over centuries to millennia (medium confidence), but the magnitude of warming is scenario-dependent from about the mid-21st century ","Ocean warming is irreversible over centuries to millennia, but the magnitude of warming is CO2 emissions scenario dependent from about the mid-21st century",medium,1,test,"While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century (Figure TS.11). {2.3, 3.5, 3.6, 4.3.2, 5.3, 7.2, 9.2, Box 9.2, 12.4} It is virtually certain that the global ocean has warmed since at least 1971, representing about 90% of the increase in the global energy inventory (Section TS.3.1). The ocean is currently warming faster than at any other time since at least the last deglacial transition (medium confidence), with warming extending to depths well below 2000 m (very high confidence). It is extremely likely that human influence was the main driver of this recent ocean warming. Ocean warming will continue over the 21st century (virtually certain), and will likely continue until at least to 2300 even for low CO 2 emissions scenarios. Ocean warming is irreversible over centuries to millennia (medium confidence), but the magnitude of warming is scenario-dependent from about the mid-21st century (medium confidence). The warming will not be globally uniform, with heat primarily stored in Southern Ocean water-masses and weaker warming in the subpolar North Atlantic (high confidence).",False,high,high,"[('high', -0.13438337, 87.43), ('medium', -3.0305932, 4.83), ('High', -3.0539525, 4.72), ('very', -3.6512902, 2.6), ('Medium', -6.042182, 0.24)]",high,high,"[('high', -0.13438337, 87.43), ('medium', -3.0305932, 4.83), ('High', -3.0539525, 4.72), ('very', -3.6512902, 2.6), ('Medium', -6.042182, 0.24)]",high,high,"[('high', -0.13438337, 87.43), ('medium', -3.0305932, 4.83), ('High', -3.0539525, 4.72), ('very', -3.6512902, 2.6), ('Medium', -6.042182, 0.24)]",high,high,"[('high', -0.13438337, 87.43), ('medium', -3.0305932, 4.83), ('High', -3.0539525, 4.72), ('very', -3.6512902, 2.6), ('Medium', -6.042182, 0.24)]",high,high,"[('high', -0.15827577, 85.36), ('very', -2.9546607, 5.21), ('medium', -3.0114748, 4.92), ('High', -3.2172759, 4.01), ('Very', -5.892805, 0.28)]"
