,Unnamed: 0.1,Unnamed: 0,statement_idx,report,page_num,sent_num,original_statement,final_statement,confidence,score,split,context,has_confidence_in_final_statement,raw_output_1,model_confidence_classification_1,model_logprobs1,raw_output_2,model_confidence_classification_2,model_logprobs2,raw_output_3,model_confidence_classification_3,model_logprobs3,raw_output_4,model_confidence_classification_4,model_logprobs4,raw_output_5,model_confidence_classification_5,model_logprobs5
3,3,0,3,AR6_WGI,24,2,"Since 1750, increases in CO 2 (47%) and CH 4 (156%) concentrations far exceed – and increases in N 2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years ","Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years",very high,3,test,"Estimates account for both direct emissions into the atmosphere and their effect, if any, on other climate drivers. For aerosols, both direct effects (through radiation) and indirect effects (through interactions with clouds) are considered. {Cross-Chapter Box 2.3, 3.3.1, 6.4.2, 7.3}Observed warming is driven by emissions from human activities, with greenhouse gas warming partly masked by aerosol cooling ºC –0.5 –1.00.00.51.01.52.0ºC –0.5 –1.00.00.51.01.52.0ºC –0.5 –1.00.00.51.01.52.0 Halogenated gases Nitrogen oxides Sulphur dioxide Volatile organic compoundsand carbon monoxide Organic carbon Black carbon Ammonia Land-use reﬂectanceand irrigation Aviation contrails Total human inﬂuence Well-mixed greenhouse gases Other human drivers Solar and volcanic drivers Internal variability Carbon dioxide Methane Nitrous oxide Mainly contribute to changes in non-CO₂ greenhouse gasesMainly contribute to changes in anthropogenic aerosols (b) Aggregated contributions to 2010– 2019 warming relative to 1850– 1900, assessed from attribution studies (a) Observed warming 2010– 2019 relative to 1850– 1900 Contributions to warming based on two complementary approaches Observed warming (c) Contributions to 2010– 2019 warming relative to 1850– 1900, assessed from radiative forcing studies 8SPM Summary for PolicymakersA.2 The scale of recent changes across the climate system as a whole – and the present state of many aspects of the climate system – are unprecedented over many centuries to many thousands of years. {2.2, 2.3, Cross-Chapter Box 2.1, 5.1} (Figure SPM.1) A.2.1 In 2019, atmospheric CO 2 concentrations were higher than at any time in at least 2 million years (high confidence), and concentrations of CH 4 and N 2O were higher than at any time in at least 800,000 years (very high confidence). Since 1750, increases in CO 2 (47%) and CH 4 (156%) concentrations far exceed – and increases in N 2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). {2.2, 5.1, TS.2.2} A.2.2 Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence).",False,very high,very high,"[('very', -0.55882174, 57.19), ('high', -1.0458517, 35.14), ('Very', -3.1507063, 4.28), ('High', -3.4383745, 3.21), ('medium', -6.691352, 0.12)]",very high,very high,"[('very', -0.26219758, 76.94), ('high', -1.8315755, 16.02), ('Very', -2.9247456, 5.37), ('High', -4.1515675, 1.57), ('medium', -7.4788933, 0.06)]",very high,very high,"[('very', -0.55882174, 57.19), ('high', -1.0458517, 35.14), ('Very', -3.1507063, 4.28), ('High', -3.4383745, 3.21), ('medium', -6.691352, 0.12)]",very high,very high,"[('very', -0.32500747, 72.25), ('high', -1.3966112, 24.74), ('Very', -3.8738794, 2.08), ('High', -4.8430967, 0.79), ('medium', -6.867488, 0.1)]",very high,very high,"[('very', -0.70310915, 49.5), ('high', -0.94703615, 38.79), ('Very', -2.8289847, 5.91), ('High', -2.8736186, 5.65), ('medium', -7.000461, 0.09)]"
42,42,1,42,AR6_WGI,37,16,"Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia ","Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia",low,0,test,"Continued ice loss over the 21st century is virtually certain for the Greenland Ice Sheet and likely for the Antarctic Ice Sheet. There is high confidence that total ice loss from the Greenland Ice Sheet will increase with cumulative emissions. There is limited evidence for low-likelihood, high-impact outcomes (resulting from ice-sheet instability processes characterized by deep uncertainty and in some cases involving tipping points) that would strongly increase ice loss from the Antarctic Ice Sheet for centuries under high GHG emissions scenarios.34 {4.3, 4.7, 5.4, 9.4, 9.5, Box 9.4, Box TS.1, TS.2.5} B.5.3 It is virtually certain that global mean sea level will continue to rise over the 21st century. Relative to 1995–2014, the likely global mean sea level rise by 2100 is 0.28–0.55 m under the very low GHG emissions scenario (SSP1-1.9); 0.32–0.62 m under the low GHG emissions scenario (SSP1-2.6); 0.44–0.76 m under the intermediate GHG emissions scenario (SSP2-4.5); and 0.63–1.01 m under the very high GHG emissions scenario (SSP5-8.5); and by 2150 is 0.37–0.86 m under the very low scenario (SSP1-1.9); 0.46–0.99 m under the low scenario (SSP1-2.6); 0.66–1.33 m under the intermediate scenario (SSP2-4.5); and 0.98–1.88 m under the very high scenario (SSP5-8.5) (medium confidence).35 Global mean sea level rise above the likely range – approaching 2 m by 2100 and 5 m by 2150 under a very high GHG emissions scenario (SSP5-8.5) (low confidence) – cannot be ruled out due to deep uncertainty in ice-sheet processes. {4.3, 9.6, Box 9.4, Box TS.4} (Figure SPM.8) B.5.4 In the longer term, sea level is committed to rise for centuries to millennia due to continuing deep-ocean warming and ice-sheet melt and will remain elevated for thousands of years (high confidence). Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia (low confidence). Projections of multi-millennial global mean sea level rise are consistent with reconstructed levels during past warm climate periods: likely 5–10 m higher than today around 125,000 years ago, when global temperatures were very likely 0.5°C–1.5°C higher than 1850–1900; and very likely 5–25 m higher roughly 3 million years ago, when global temperatures were 2.5°C–4°C higher (medium confidence).",False,high,high,"[('high', -0.2471235, 78.1), ('very', -1.9166105, 14.71), ('medium', -2.7991006, 6.09), ('High', -4.9967995, 0.68), ('Very', -5.795969, 0.3)]",high,high,"[('high', -0.2503565, 77.85), ('very', -1.7351835, 17.64), ('medium', -3.4724596, 3.1), ('High', -4.7923355, 0.83), ('Very', -5.364441, 0.47)]",high,high,"[('high', -0.30375373, 73.8), ('very', -1.5606812, 21.0), ('medium', -3.1841955, 4.14), ('High', -5.154336, 0.58), ('Very', -5.563592, 0.38)]",high,high,"[('high', -0.30375373, 73.8), ('very', -1.5606812, 21.0), ('medium', -3.1841955, 4.14), ('High', -5.154336, 0.58), ('Very', -5.563592, 0.38)]",high,high,"[('high', -0.30375373, 73.8), ('very', -1.5606812, 21.0), ('medium', -3.1841955, 4.14), ('High', -5.154336, 0.58), ('Very', -5.563592, 0.38)]"
77,77,2,77,AR6_WGI,47,7,"By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios ","By the end of the century, scenarios with very low and low greenhouse gas (GHG) emissions would strongly limit the change of several climactic impact drivers (CIDs), such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios",high,2,test,"{6.6, 6.7, Box TS.7}. D.2.3 Scenarios with very low or low GHG emissions (SSP1-1.9 and SSP1-2.6) would have rapid and sustained effects to limit human-caused climate change, compared with scenarios with high or very high GHG emissions (SSP3-7.0 or SSP5-8.5), but early responses of the climate system can be masked by natural variability. For global surface temperature, differences in 20-year trends would likely emerge during the near term under a very low GHG emissions scenario (SSP1-1.9), relative to a high or very high GHG emissions scenario (SSP3-7.0 or SSP5-8.5). The response of many other climate variables would emerge from natural variability at different times later in the 21st century (high confidence). {4.6, Cross-Section Box TS.1} (Figure SPM.8, Figure SPM.10) D.2.4 Scenarios with very low and low GHG emissions (SSP1-1.9 and SSP1-2.6) would lead to substantially smaller changes in a range of CIDs36 beyond 2040 than under high and very high GHG emissions scenarios (SSP3-7.0 and SSP5-8.5). By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios (high confidence). Changes would also be smaller in very low compared to low GHG emissions scenarios, as well as for intermediate (SSP2-4.5) compared to high or very high GHG emissions scenarios (high confidence).",False,high,high,"[('high', -0.057264157, 94.43), ('High', -3.4977834, 3.03), ('very', -4.0967636, 1.66), ('medium', -4.9322453, 0.72), ('Very', -7.113182, 0.08)]",high,high,"[('high', -0.051866032, 94.95), ('High', -3.323812, 3.6), ('very', -4.5008082, 1.11), ('medium', -6.064962, 0.23), ('Very', -7.274019, 0.07)]",high,high,"[('high', -0.06281204, 93.91), ('High', -3.1143773, 4.44), ('very', -4.5317335, 1.08), ('medium', -5.447694, 0.43), ('Very', -7.1685495, 0.08)]",high,high,"[('high', -0.057264157, 94.43), ('High', -3.4977834, 3.03), ('very', -4.0967636, 1.66), ('medium', -4.9322453, 0.72), ('Very', -7.113182, 0.08)]",high,high,"[('high', -0.06340621, 93.86), ('High', -3.142832, 4.32), ('very', -4.342886, 1.3), ('medium', -5.605427, 0.37), ('Very', -6.920845, 0.1)]"
81,81,3,81,AR6_WGI,62,2,"Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions ","Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions",medium,1,test,"{1.3.2, 1.5.1, Cross-Chapter Boxes 2.1 and 2.4} Global surface temperature. Since AR5, updated climate forcings, improved models, new understanding of the strengths and weaknesses of a growing array of proxy records, better chronologies and more robust proxy data products have led to better agreement between models and reconstructions. For global surface temperature, the mid-point of the AR6-assessed range and the median of the model-simulated temperatures differ by an average of 0.5°C across five reference periods; they overlap within their lower 1850–1900Reference period (*See Interactive Atlas for climate model output) Recent past Approximate pre-industrial Last Millennium Mid-Holocene* Last Deglacial Transition Last Glacial Maximum* Last Interglacial* Mid-Pliocene Warm Period* Early Eocene Paleocene-Eocene Thermal Maximum X to Y: very likely range (caveats in Figure 2.34) X Y: start to end of period, with no stated uncertainty X ~ Y: lowest and highest values, with not stated uncertainty1995–2014 CE 1850–1900 CE 850–1850 CE 6.5–5.5 ka 18–11 ka 23–19 ka 129–116 ka 3.3–3.0 Ma 53–49 Ma 55.9–55.7 Ma360 286 278 260 193 188 266 360 1150 900397 296 285 268 271 194 282 420 2500 2000CO 2 (ppm)Temperature (°C)Sea level (m) Age 0.66 –0.15 –0.14 0.2 –5 0.5 2.5 10 10not assessed1.00 +0.11 0.24 1.0 –7 1.5 4.0 18 25to to to to to toto to ~ to to to to to to0.15 –0.03 –0.05 –3.5 –120 –134 5 5 700.25 0.00 0.03 +0.5 –50 –125 10 25 76to to to to to to to to not assessed higherThree selected global climate indicators covary across multiple paleoclimate reference periods (a)(b) 2000 1000 500 200 100Atmospheric CO 2 (ppm) –10 –5 0 5 10 15 20Early Eocene Mid-Pliocene Recent past 1850–1900Last Interglacial Mid-Holocene Last Glacial Maximum Global surface temperature (°C) relative to 1850–1900 46 Technical Summary TSBox TS.2 (continued) 90% ranges in four of five cases, which together span from about 6 [5 to 7]°C colder during the Last Glacial Maximum to about 14 [10 to 18] °C warmer during the Early Eocene, relative to 1850–1900 (Box TS.2, Figure 2a). Changes in temperature by latitude in response to multiple forcings show that polar amplification (stronger warming at high latitudes than the global average) is a prominent feature of the climate system across multiple climate states, and the ability of models to simulate this polar amplification in past warm climates has improved since AR5 (high confidence). Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions (medium confidence), except for some short periods immediately following large volcanic eruptions, for which different forcing datasets disagree (Box TS.2, Figure 2b). {2.3.1.1, 3.3.3.1, 3.8.2.1, 7.4.4.1.2} Box TS.2, Figure 2 | Global surface temperature as estimated from proxy records (reconstructed) and climate models (simulated).",False,high,high,"[('high', -0.11907428, 88.77), ('High', -3.0881886, 4.56), ('medium', -3.104218, 4.49), ('very', -4.0092835, 1.81), ('Medium', -6.245293, 0.19)]",high,high,"[('high', -0.108506784, 89.72), ('High', -3.069488, 4.64), ('medium', -3.1539664, 4.27), ('very', -4.516462, 1.09), ('Medium', -6.358171, 0.17)]",high,high,"[('high', -0.11171214, 89.43), ('medium', -2.8478496, 5.8), ('High', -3.6189678, 2.68), ('very', -3.9989383, 1.83), ('Medium', -6.5663, 0.14)]",high,high,"[('high', -0.18426313, 83.17), ('medium', -2.1039162, 12.2), ('High', -3.535223, 2.92), ('very', -4.3431835, 1.3), ('Medium', -5.83387, 0.29)]",high,high,"[('high', -0.14385542, 86.6), ('medium', -2.2229912, 10.83), ('High', -4.1990657, 1.5), ('very', -4.7462573, 0.87), ('Medium', -6.6197352, 0.13)]"
86,86,4,86,AR6_WGI,63,8,"This paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment (see Core Concepts Box), essentially irreversible on human time scales ","The paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment, essentially irreversible on human time scales",high,2,test,"For example, under a past global warming levels of around [2.5°C to 4°C] relative to 1850–1900, like during the mid-Pliocene Warm Period, sea level was [5 to 25 m] higher than 1900 (medium confidence); under past global warming levels of [10°C to 18°C], like during the Early Eocene, the planet was essentially ice free (high confidence). Constraints from these past warm periods, combined with physical understanding, glaciology and modelling, indicate a committed long-term GMSL rise over 10,000 years, reaching about 8 to 13 m for sustained peak global warming of 2°C and up to 28 to 37 m for 5°C, which exceeds the AR5 estimate. {2.3.3.3, 9.4.1.4, 9.4.2.6, 9.6.2, 9.6.3.5} Ocean. Since AR5, better integration of paleo-oceanographic data with modelling along with higher-resolution analyses of transient changes have improved understanding of long-term ocean processes. Low-latitude sea surface temperatures at the Last Glacial Maximum cooled more than previously inferred, resolving some inconsistencies noted in AR5. This paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment (see Core Concepts Box), essentially irreversible on human time scales (high confidence). Estimates of past global OHC variations generally track those of sea surface temperatures around Antarctica, underscoring the importance of Southern Ocean processes in regulating deep-ocean temperatures.",False,high,high,"[('high', -0.30756956, 73.52), ('High', -1.8856926, 15.17), ('very', -2.398037, 9.09), ('Very', -4.0099697, 1.81), ('medium', -6.0402527, 0.24)]",high,high,"[('high', -0.2844433, 75.24), ('very', -1.9404014, 14.36), ('High', -2.516953, 8.07), ('Very', -4.051638, 1.74), ('medium', -5.5919576, 0.37)]",high,high,"[('high', -0.4823573, 61.73), ('High', -1.4303515, 23.92), ('very', -2.2984107, 10.04), ('Very', -3.280802, 3.76), ('medium', -5.933476, 0.26)]",high,high,"[('high', -0.32000154, 72.61), ('very', -1.7426109, 17.51), ('High', -2.5650463, 7.69), ('Very', -3.9430237, 1.94), ('medium', -6.522623, 0.15)]",high,high,"[('high', -0.32000154, 72.61), ('very', -1.7426109, 17.51), ('High', -2.5650463, 7.69), ('Very', -3.9430237, 1.94), ('medium', -6.522623, 0.15)]"
98,98,5,98,AR6_WGI,65,30,"These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks "," The higher equilibrium climate sensitivity (ECS) and transient climate response (TCR) sensitivities in the coupled model intercomparison project 6 (CMIP6) ensemble than CMIP5 can, in some models, be traced to changes in extratropical cloud feedbacks",medium,1,test,"Model performance is limited in reproducing sea surface temperature anomalies for decadal modes of variability, despite improvements from CMIP5 to CMIP6 (medium confidence) (see also Section TS.1.4.2.2, Table TS.4). {3.7.3–3.7.7} Earth system models (ESMs) simulate globally averaged land carbon sinks within the range of observation-based estimates (high confidence), but global-scale agreement masks large regional disagreements. There is also high confidence that the ESMs simulate the weakening of the global net flux of CO 2 into the ocean during the 1990s, as well as the strengthening of the flux from 2000. {3.6} Two important quantities used to estimate how the climate system responds to changes in greenhouse gas (GHG) concentrations are the equilibrium climate sensitivity (ECS) and transient climate response (TCR16). The CMIP6 ensemble has broader ranges of ECS and TCR values than CMIP5 (see Section TS.3.2 for the assessed range). These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks (medium confidence). To combine evidence from CMIP6 models and independent assessments of ECS and TCR, various emulators are used throughout the report.",False,medium,medium,"[('medium', -0.7129837, 49.02), ('high', -0.7153908, 48.9), ('High', -4.4438186, 1.18), ('Medium', -4.839563, 0.79), ('very', -7.562423, 0.05)]",high,high,"[('high', -0.59960073, 54.9), ('medium', -0.9695272, 37.93), ('High', -3.0416117, 4.78), ('Medium', -3.7716627, 2.3), ('very', -7.8044424, 0.04)]",medium,medium,"[('medium', -0.47594202, 62.13), ('high', -1.1050085, 33.12), ('Medium', -3.692039, 2.49), ('High', -3.8288417, 2.17), ('very', -8.169995, 0.03)]",medium,medium,"[('medium', -0.6801168, 50.66), ('high', -0.776476, 46.0), ('High', -3.9884758, 1.85), ('Medium', -4.2749844, 1.39), ('very', -7.6908894, 0.05)]",high,high,"[('high', -0.70736176, 49.29), ('medium', -0.9146829, 40.06), ('High', -2.6825223, 6.84), ('Medium', -3.2969232, 3.7), ('very', -7.75071, 0.04)]"
151,151,6,151,AR6_WGI,85,31,Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980 ,"Model estimates suggest no significant change in the global mean abundance of hydroxyl (OH) radical, or ‘oxidizing capacity’, from 1850 to 1980",low,0,test,"Future changes in surface ozone concentrations will be primarily driven by changes in precursor emissions rather than climate change (high confidence). Stratospheric ozone has declined between 60°S–60°N by 2.2% from 1964–1980 to 2014–2017 (high confidence), with the largest declines during 1980–1995. The strongest loss of stratospheric ozone continues to occur in austral spring over Antarctica (ozone hole), with emergent signs of recovery after 2000. The 1750–2019 ERF for total (stratospheric and tropospheric) ozone is 0.47 [0.24 to 0.71] W m−2, which is dominated by tropospheric ozone changes. {2.2.5, 6.3.2, 7.3.2, 7.3.5} The global mean abundance of hydroxyl (OH) radical, or ‘oxidizing capacity’, chemically regulates the lifetimes of many SLCFs, and therefore the radiative forcing of CH 4, ozone, secondary aerosols and many halogenated species. Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980 (low confidence). Increases of about 9% over 1980–2014 computed by ESMs and carbon cycle models are not confirmed by observationally constrained inverse models, rendering an overall medium confidence in stable OH or positive trends since the 1980s, and implying that OH is not the primary driver of recent observed growth in CH 4.",False,High,high,"[('High', -0.62578636, 53.48), ('high', -1.3959355, 24.76), ('Medium', -1.9792886, 13.82), ('medium', -2.6805997, 6.85), ('Very', -5.263825, 0.52)]",high,high,"[('high', -0.6776276, 50.78), ('High', -1.4974747, 22.37), ('medium', -1.7081623, 18.12), ('Medium', -2.604229, 7.4), ('very', -4.7486496, 0.87)]",high,high,"[('high', -0.7599656, 46.77), ('High', -1.5034368, 22.24), ('medium', -1.5352247, 21.54), ('Medium', -2.442804, 8.69), ('very', -5.4948134, 0.41)]",High,high,"[('High', -0.7115264, 49.09), ('high', -1.2773356, 27.88), ('Medium', -1.982017, 13.78), ('medium', -2.494577, 8.25), ('Very', -5.4028163, 0.45)]",high,high,"[('high', -0.6035848, 54.68), ('medium', -1.424479, 24.06), ('High', -1.9049535, 14.88), ('Medium', -2.9399266, 5.29), ('very', -4.9645753, 0.7)]"
157,157,7,157,AR6_WGI,87,27,Projected changes in the intensity depend on the resolution of climate models ,Projected changes in the intensity of extratopical cyclones in the Southern Hemisphere depend on the resolution of climate models,medium,1,test,"There is medium confidence that the average location where TCs reach their maximum wind-intensity will migrate poleward in the western North Pacific Ocean, while the total global frequency of TC formation will decrease or remain unchanged with increasing global warming. {11.7.1} There is low confidence in observed recent changes in the total number of extratropical cyclones over both hemispheres. There is also low confidence in past-century trends in the number and intensity of the strongest extratropical cyclones over the Northern Hemisphere due to the large interannual-to-decadal variability and temporal and spatial heterogeneities in the volume and type of assimilated data in atmospheric reanalyses, particularly before the satellite era. Over the Southern Hemisphere, it is likely that the number of extratropical cyclones with low central pressures (<980 hPa) has increased since 1979. The frequency of intense extratropical cyclones is projected to decrease (medium confidence). Projected changes in the intensity depend on the resolution of climate models (medium confidence). There is medium confidence that wind speeds associated with extratropical cyclones will change following changes in the storm tracks.",False,medium,medium,"[('medium', -0.10809804, 89.75), ('high', -2.5677462, 7.67), ('Medium', -3.806716, 2.22), ('High', -5.7825747, 0.31), ('low', -8.355866, 0.02)]",medium,medium,"[('medium', -0.14543185, 86.46), ('high', -2.361275, 9.43), ('Medium', -3.3706782, 3.44), ('High', -5.0877156, 0.62), ('low', -8.352367, 0.02)]",medium,medium,"[('medium', -0.37335908, 68.84), ('Medium', -1.4365228, 23.78), ('high', -2.9319701, 5.33), ('High', -3.9116187, 2.0), (' medium', -8.263486, 0.03)]",medium,medium,"[('medium', -0.09594156, 90.85), ('high', -2.7737675, 6.24), ('Medium', -3.6641808, 2.56), ('High', -5.7948265, 0.3), ('low', -8.616777, 0.02)]",medium,medium,"[('medium', -0.2245657, 79.89), ('Medium', -1.9038184, 14.9), ('high', -3.1837275, 4.14), ('High', -4.5910454, 1.01), (' medium', -8.167007, 0.03)]"
162,162,8,162,AR6_WGI,90,4,"A long-term increase in surface open ocean pH occurred over the past 50 million years (high confidence), and surface ocean pH as low as recent times is uncommon in the last 2 million years ","A long-term increase in surface open ocean pH occurred over the past 50 million years, and surface ocean pH as low as recent times is uncommon in the last 2 million years",medium,1,test,"{4.7, Figure 4.41}(a) Best estimate (scaled) (b) High-warming models (c) Very-high-warming models 4 3 2.5 2 –2 –2.5 –3 –4 1.5 1 0 –1 –1.5SSP1-2.6 (2081–2100) (d) Best estimate (scaled) (e) High-warming models (f) Very-high-warming modelsSSP5-8.5 (2081–2100) 8 6 5 4 –4 –5 –6 –8 3 2 0 –2 –3°C °C 74 Technical Summary TSTS.2.4 The Ocean Observations, models and paleo-evidence indicate that recently observed changes in the ocean are unprecedented for centuries to millennia (high confidence). Over the past four to six decades, it is virtually certain that the global ocean has warmed, with human influence extremely likely the main driver since the 1970s, making climate change irreversible over centuries to millennia (medium confidence). It is virtually certain that upper ocean salinity contrasts have increased since the 1950s and extremely likely that human influence has contributed. It is virtually certain that upper ocean stratification has increased since 1970 and that sea water pH has declined globally over the last 40 years, with human influence being the main driver of the observed surface open ocean acidification (virtually certain). A long-term increase in surface open ocean pH occurred over the past 50 million years (high confidence), and surface ocean pH as low as recent times is uncommon in the last 2 million years (medium confidence). There is high confidence that marine heatwaves have become more frequent in the 20th century, and most of those since 2006 have been attributed to anthropogenic warming (very likely).",False,high,high,"[('high', -0.2856815, 75.15), ('High', -2.1899574, 11.19), ('very', -2.2301586, 10.75), ('Very', -4.0551825, 1.73), ('medium', -4.664695, 0.94)]",high,high,"[('high', -0.4433502, 64.19), ('High', -1.8420051, 15.85), ('very', -1.8481792, 15.75), ('Very', -3.3402276, 3.54), ('medium', -5.338988, 0.48)]",high,high,"[('high', -0.3508536, 70.41), ('very', -1.8370997, 15.93), ('High', -2.2763774, 10.27), ('Very', -3.707465, 2.45), ('medium', -4.894175, 0.75)]",high,high,"[('high', -0.4214423, 65.61), ('High', -1.7752764, 16.94), ('very', -2.009621, 13.4), ('Very', -3.537697, 2.91), ('medium', -4.7802396, 0.84)]",high,high,"[('high', -0.22889605, 79.54), ('very', -1.9179295, 14.69), ('High', -3.3244276, 3.6), ('medium', -4.3841486, 1.25), ('Very', -4.815547, 0.81)]"
165,165,9,165,AR6_WGI,90,14,"Ocean warming is irreversible over centuries to millennia (medium confidence), but the magnitude of warming is scenario-dependent from about the mid-21st century ","Ocean warming is irreversible over centuries to millennia, but the magnitude of warming is CO2 emissions scenario dependent from about the mid-21st century",medium,1,test,"While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century (Figure TS.11). {2.3, 3.5, 3.6, 4.3.2, 5.3, 7.2, 9.2, Box 9.2, 12.4} It is virtually certain that the global ocean has warmed since at least 1971, representing about 90% of the increase in the global energy inventory (Section TS.3.1). The ocean is currently warming faster than at any other time since at least the last deglacial transition (medium confidence), with warming extending to depths well below 2000 m (very high confidence). It is extremely likely that human influence was the main driver of this recent ocean warming. Ocean warming will continue over the 21st century (virtually certain), and will likely continue until at least to 2300 even for low CO 2 emissions scenarios. Ocean warming is irreversible over centuries to millennia (medium confidence), but the magnitude of warming is scenario-dependent from about the mid-21st century (medium confidence). The warming will not be globally uniform, with heat primarily stored in Southern Ocean water-masses and weaker warming in the subpolar North Atlantic (high confidence).",False,high,high,"[('high', -0.11494849, 89.14), ('medium', -2.4972003, 8.23), ('High', -4.01099, 1.81), ('very', -5.076359, 0.62), ('Medium', -6.607727, 0.13)]",high,high,"[('high', -0.12385709, 88.35), ('medium', -2.380609, 9.25), ('High', -4.0751204, 1.7), ('very', -5.2908454, 0.5), ('Medium', -6.547195, 0.14)]",high,high,"[('high', -0.12385709, 88.35), ('medium', -2.380609, 9.25), ('High', -4.0751204, 1.7), ('very', -5.2908454, 0.5), ('Medium', -6.547195, 0.14)]",high,high,"[('high', -0.18788429, 82.87), ('medium', -2.1046476, 12.19), ('High', -3.2501192, 3.88), ('Medium', -5.304263, 0.5), ('very', -5.3265676, 0.49)]",high,high,"[('high', -0.16945343, 84.41), ('medium', -2.3427303, 9.61), ('High', -3.0712116, 4.64), ('very', -4.802705, 0.82), ('Medium', -5.486781, 0.41)]"
