,Unnamed: 0.1,Unnamed: 0,statement_idx,report,page_num,sent_num,original_statement,final_statement,confidence,score,split,context,has_confidence_in_final_statement,raw_output_1,model_confidence_classification_1,model_logprobs1,raw_output_2,model_confidence_classification_2,model_logprobs2,raw_output_3,model_confidence_classification_3,model_logprobs3,raw_output_4,model_confidence_classification_4,model_logprobs4,raw_output_5,model_confidence_classification_5,model_logprobs5
3,3,0,3,AR6_WGI,24,2,"Since 1750, increases in CO 2 (47%) and CH 4 (156%) concentrations far exceed – and increases in N 2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years ","Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years",very high,3,test,"Estimates account for both direct emissions into the atmosphere and their effect, if any, on other climate drivers. For aerosols, both direct effects (through radiation) and indirect effects (through interactions with clouds) are considered. {Cross-Chapter Box 2.3, 3.3.1, 6.4.2, 7.3}Observed warming is driven by emissions from human activities, with greenhouse gas warming partly masked by aerosol cooling ºC –0.5 –1.00.00.51.01.52.0ºC –0.5 –1.00.00.51.01.52.0ºC –0.5 –1.00.00.51.01.52.0 Halogenated gases Nitrogen oxides Sulphur dioxide Volatile organic compoundsand carbon monoxide Organic carbon Black carbon Ammonia Land-use reﬂectanceand irrigation Aviation contrails Total human inﬂuence Well-mixed greenhouse gases Other human drivers Solar and volcanic drivers Internal variability Carbon dioxide Methane Nitrous oxide Mainly contribute to changes in non-CO₂ greenhouse gasesMainly contribute to changes in anthropogenic aerosols (b) Aggregated contributions to 2010– 2019 warming relative to 1850– 1900, assessed from attribution studies (a) Observed warming 2010– 2019 relative to 1850– 1900 Contributions to warming based on two complementary approaches Observed warming (c) Contributions to 2010– 2019 warming relative to 1850– 1900, assessed from radiative forcing studies 8SPM Summary for PolicymakersA.2 The scale of recent changes across the climate system as a whole – and the present state of many aspects of the climate system – are unprecedented over many centuries to many thousands of years. {2.2, 2.3, Cross-Chapter Box 2.1, 5.1} (Figure SPM.1) A.2.1 In 2019, atmospheric CO 2 concentrations were higher than at any time in at least 2 million years (high confidence), and concentrations of CH 4 and N 2O were higher than at any time in at least 800,000 years (very high confidence). Since 1750, increases in CO 2 (47%) and CH 4 (156%) concentrations far exceed – and increases in N 2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). {2.2, 5.1, TS.2.2} A.2.2 Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence).",False,very high,very high,"[('very', -0.0004888113, 99.95), ('high', -7.6254888, 0.05), (' very', -15.500489, 0.0), ('medium', -15.500489, 0.0), (""'"", -15.875489, 0.0)]",very high,very high,"[('very', -0.0017031522, 99.83), ('high', -6.3767033, 0.17), ('medium', -14.251703, 0.0), (' very', -16.001703, 0.0), ('Very', -16.126703, 0.0)]",very high,very high,"[('very', -0.0031836594, 99.68), ('high', -5.753184, 0.32), ('Very', -12.878183, 0.0), ('medium', -13.128183, 0.0), (' very', -14.503183, 0.0)]",very high,very high,"[('very', -0.0013270224, 99.87), ('high', -6.626327, 0.13), ('medium', -14.251327, 0.0), ('Very', -15.626327, 0.0), (' very', -16.126328, 0.0)]",very high,very high,"[('very', -0.001929467, 99.81), ('high', -6.2519293, 0.19), ('medium', -14.501929, 0.0), (' very', -16.00193, 0.0), ('Very', -16.25193, 0.0)]"
42,42,1,42,AR6_WGI,37,16,"Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia ","Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia",low,0,test,"Continued ice loss over the 21st century is virtually certain for the Greenland Ice Sheet and likely for the Antarctic Ice Sheet. There is high confidence that total ice loss from the Greenland Ice Sheet will increase with cumulative emissions. There is limited evidence for low-likelihood, high-impact outcomes (resulting from ice-sheet instability processes characterized by deep uncertainty and in some cases involving tipping points) that would strongly increase ice loss from the Antarctic Ice Sheet for centuries under high GHG emissions scenarios.34 {4.3, 4.7, 5.4, 9.4, 9.5, Box 9.4, Box TS.1, TS.2.5} B.5.3 It is virtually certain that global mean sea level will continue to rise over the 21st century. Relative to 1995–2014, the likely global mean sea level rise by 2100 is 0.28–0.55 m under the very low GHG emissions scenario (SSP1-1.9); 0.32–0.62 m under the low GHG emissions scenario (SSP1-2.6); 0.44–0.76 m under the intermediate GHG emissions scenario (SSP2-4.5); and 0.63–1.01 m under the very high GHG emissions scenario (SSP5-8.5); and by 2150 is 0.37–0.86 m under the very low scenario (SSP1-1.9); 0.46–0.99 m under the low scenario (SSP1-2.6); 0.66–1.33 m under the intermediate scenario (SSP2-4.5); and 0.98–1.88 m under the very high scenario (SSP5-8.5) (medium confidence).35 Global mean sea level rise above the likely range – approaching 2 m by 2100 and 5 m by 2150 under a very high GHG emissions scenario (SSP5-8.5) (low confidence) – cannot be ruled out due to deep uncertainty in ice-sheet processes. {4.3, 9.6, Box 9.4, Box TS.4} (Figure SPM.8) B.5.4 In the longer term, sea level is committed to rise for centuries to millennia due to continuing deep-ocean warming and ice-sheet melt and will remain elevated for thousands of years (high confidence). Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia (low confidence). Projections of multi-millennial global mean sea level rise are consistent with reconstructed levels during past warm climate periods: likely 5–10 m higher than today around 125,000 years ago, when global temperatures were very likely 0.5°C–1.5°C higher than 1850–1900; and very likely 5–25 m higher roughly 3 million years ago, when global temperatures were 2.5°C–4°C higher (medium confidence).",False,high,high,"[('high', -0.2663138, 76.62), ('medium', -2.5163138, 8.08), ('very', -2.7663138, 6.29), ('Very', -3.1413138, 4.32), ('High', -3.2663138, 3.81)]",medium,medium,"[('medium', -0.44454703, 64.11), ('high', -1.069547, 34.32), ('very', -4.319547, 1.33), ('low', -6.069547, 0.23), ('Medium', -10.319547, 0.0)]",high,high,"[('high', -0.24746466, 78.08), ('medium', -2.2474647, 10.57), ('very', -2.3724647, 9.33), ('low', -4.8724647, 0.77), ('Very', -5.1224647, 0.6)]",medium,medium,"[('medium', -0.71324277, 49.01), ('high', -0.83824277, 43.25), ('very', -2.9632428, 5.17), ('low', -3.7132428, 2.44), ('High', -7.5882425, 0.05)]",high,high,"[('high', -0.039654754, 96.11), ('medium', -3.5396547, 2.9), ('very', -4.9146547, 0.73), ('High', -6.5396547, 0.14), ('low', -7.6646547, 0.05)]"
77,77,2,77,AR6_WGI,47,7,"By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios ","By the end of the century, scenarios with very low and low greenhouse gas (GHG) emissions would strongly limit the change of several climactic impact drivers (CIDs), such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios",high,2,test,"{6.6, 6.7, Box TS.7}. D.2.3 Scenarios with very low or low GHG emissions (SSP1-1.9 and SSP1-2.6) would have rapid and sustained effects to limit human-caused climate change, compared with scenarios with high or very high GHG emissions (SSP3-7.0 or SSP5-8.5), but early responses of the climate system can be masked by natural variability. For global surface temperature, differences in 20-year trends would likely emerge during the near term under a very low GHG emissions scenario (SSP1-1.9), relative to a high or very high GHG emissions scenario (SSP3-7.0 or SSP5-8.5). The response of many other climate variables would emerge from natural variability at different times later in the 21st century (high confidence). {4.6, Cross-Section Box TS.1} (Figure SPM.8, Figure SPM.10) D.2.4 Scenarios with very low and low GHG emissions (SSP1-1.9 and SSP1-2.6) would lead to substantially smaller changes in a range of CIDs36 beyond 2040 than under high and very high GHG emissions scenarios (SSP3-7.0 and SSP5-8.5). By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios (high confidence). Changes would also be smaller in very low compared to low GHG emissions scenarios, as well as for intermediate (SSP2-4.5) compared to high or very high GHG emissions scenarios (high confidence).",False,high,high,"[('high', -0.1428248, 86.69), ('very', -2.017825, 13.29), ('medium', -8.892825, 0.01), ('Very', -12.267825, 0.0), (' high', -12.767825, 0.0)]",high,high,"[('high', -0.14280713, 86.69), ('very', -2.017807, 13.29), ('medium', -9.142807, 0.01), ('Very', -11.267807, 0.0), ('High', -12.017807, 0.0)]",high,high,"[('high', -0.47433463, 62.23), ('very', -0.9743346, 37.74), ('medium', -8.349335, 0.02), ('Very', -11.599335, 0.0), (""'"", -12.974335, 0.0)]",high,high,"[('high', -0.10037585, 90.45), ('very', -2.350376, 9.53), ('medium', -8.725376, 0.02), (' high', -13.225376, 0.0), ('Very', -13.850376, 0.0)]",high,high,"[('high', -0.31369308, 73.07), ('very', -1.313693, 26.88), ('medium', -7.813693, 0.04), ('高', -11.688693, 0.0), ('Very', -11.813693, 0.0)]"
81,81,3,81,AR6_WGI,62,2,"Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions ","Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions",medium,1,test,"{1.3.2, 1.5.1, Cross-Chapter Boxes 2.1 and 2.4} Global surface temperature. Since AR5, updated climate forcings, improved models, new understanding of the strengths and weaknesses of a growing array of proxy records, better chronologies and more robust proxy data products have led to better agreement between models and reconstructions. For global surface temperature, the mid-point of the AR6-assessed range and the median of the model-simulated temperatures differ by an average of 0.5°C across five reference periods; they overlap within their lower 1850–1900Reference period (*See Interactive Atlas for climate model output) Recent past Approximate pre-industrial Last Millennium Mid-Holocene* Last Deglacial Transition Last Glacial Maximum* Last Interglacial* Mid-Pliocene Warm Period* Early Eocene Paleocene-Eocene Thermal Maximum X to Y: very likely range (caveats in Figure 2.34) X Y: start to end of period, with no stated uncertainty X ~ Y: lowest and highest values, with not stated uncertainty1995–2014 CE 1850–1900 CE 850–1850 CE 6.5–5.5 ka 18–11 ka 23–19 ka 129–116 ka 3.3–3.0 Ma 53–49 Ma 55.9–55.7 Ma360 286 278 260 193 188 266 360 1150 900397 296 285 268 271 194 282 420 2500 2000CO 2 (ppm)Temperature (°C)Sea level (m) Age 0.66 –0.15 –0.14 0.2 –5 0.5 2.5 10 10not assessed1.00 +0.11 0.24 1.0 –7 1.5 4.0 18 25to to to to to toto to ~ to to to to to to0.15 –0.03 –0.05 –3.5 –120 –134 5 5 700.25 0.00 0.03 +0.5 –50 –125 10 25 76to to to to to to to to not assessed higherThree selected global climate indicators covary across multiple paleoclimate reference periods (a)(b) 2000 1000 500 200 100Atmospheric CO 2 (ppm) –10 –5 0 5 10 15 20Early Eocene Mid-Pliocene Recent past 1850–1900Last Interglacial Mid-Holocene Last Glacial Maximum Global surface temperature (°C) relative to 1850–1900 46 Technical Summary TSBox TS.2 (continued) 90% ranges in four of five cases, which together span from about 6 [5 to 7]°C colder during the Last Glacial Maximum to about 14 [10 to 18] °C warmer during the Early Eocene, relative to 1850–1900 (Box TS.2, Figure 2a). Changes in temperature by latitude in response to multiple forcings show that polar amplification (stronger warming at high latitudes than the global average) is a prominent feature of the climate system across multiple climate states, and the ability of models to simulate this polar amplification in past warm climates has improved since AR5 (high confidence). Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions (medium confidence), except for some short periods immediately following large volcanic eruptions, for which different forcing datasets disagree (Box TS.2, Figure 2b). {2.3.1.1, 3.3.3.1, 3.8.2.1, 7.4.4.1.2} Box TS.2, Figure 2 | Global surface temperature as estimated from proxy records (reconstructed) and climate models (simulated).",False,high,high,"[('high', -0.32258877, 72.43), ('very', -1.4475888, 23.51), ('medium', -3.5725887, 2.81), (""'"", -4.447589, 1.17), ('low', -8.072589, 0.03)]",high,high,"[('high', -0.23697664, 78.9), ('very', -1.9869766, 13.71), ('medium', -2.6119766, 7.34), ('low', -7.9869766, 0.03), ('Very', -9.486977, 0.01)]",high,high,"[('high', -0.29204062, 74.67), ('very', -1.4170406, 24.24), ('medium', -4.542041, 1.07), ('low', -9.292041, 0.01), ('Very', -10.667041, 0.0)]",high,high,"[('high', -0.1853897, 83.08), ('very', -2.0603898, 12.74), ('medium', -3.1853898, 4.14), ('low', -8.6853895, 0.02), (""'"", -8.6853895, 0.02)]",high,high,"[('high', -0.6038391, 54.67), ('very', -0.8538391, 42.58), ('medium', -3.6038392, 2.72), ('low', -8.478839, 0.02), ('Very', -10.103839, 0.0)]"
86,86,4,86,AR6_WGI,63,8,"This paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment (see Core Concepts Box), essentially irreversible on human time scales ","The paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment, essentially irreversible on human time scales",high,2,test,"For example, under a past global warming levels of around [2.5°C to 4°C] relative to 1850–1900, like during the mid-Pliocene Warm Period, sea level was [5 to 25 m] higher than 1900 (medium confidence); under past global warming levels of [10°C to 18°C], like during the Early Eocene, the planet was essentially ice free (high confidence). Constraints from these past warm periods, combined with physical understanding, glaciology and modelling, indicate a committed long-term GMSL rise over 10,000 years, reaching about 8 to 13 m for sustained peak global warming of 2°C and up to 28 to 37 m for 5°C, which exceeds the AR5 estimate. {2.3.3.3, 9.4.1.4, 9.4.2.6, 9.6.2, 9.6.3.5} Ocean. Since AR5, better integration of paleo-oceanographic data with modelling along with higher-resolution analyses of transient changes have improved understanding of long-term ocean processes. Low-latitude sea surface temperatures at the Last Glacial Maximum cooled more than previously inferred, resolving some inconsistencies noted in AR5. This paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment (see Core Concepts Box), essentially irreversible on human time scales (high confidence). Estimates of past global OHC variations generally track those of sea surface temperatures around Antarctica, underscoring the importance of Southern Ocean processes in regulating deep-ocean temperatures.",False,very high,very high,"[('very', -0.18105645, 83.44), ('high', -1.8060565, 16.43), ('medium', -6.6810565, 0.13), ('Very', -10.181056, 0.0), ('low', -11.806056, 0.0)]",very high,very high,"[('very', -0.1606987, 85.15), ('high', -1.9106987, 14.8), ('medium', -8.160699, 0.03), ('Very', -8.785699, 0.02), (""'"", -11.035699, 0.0)]",very high,very high,"[('very', -0.28321674, 75.34), ('high', -1.4082167, 24.46), ('medium', -6.783217, 0.11), ('Very', -7.158217, 0.08), (""'"", -9.533216, 0.01)]",very high,very high,"[('very', -0.3508927, 70.41), ('high', -1.2258927, 29.35), ('Very', -6.3508925, 0.17), ('medium', -7.6008925, 0.05), ('High', -8.600893, 0.02)]",very high,very high,"[('very', -0.07941118, 92.37), ('high', -2.5794113, 7.58), ('medium', -8.2044115, 0.03), ('Very', -8.4544115, 0.02), (""'"", -11.0794115, 0.0)]"
98,98,5,98,AR6_WGI,65,30,"These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks "," The higher equilibrium climate sensitivity (ECS) and transient climate response (TCR) sensitivities in the coupled model intercomparison project 6 (CMIP6) ensemble than CMIP5 can, in some models, be traced to changes in extratropical cloud feedbacks",medium,1,test,"Model performance is limited in reproducing sea surface temperature anomalies for decadal modes of variability, despite improvements from CMIP5 to CMIP6 (medium confidence) (see also Section TS.1.4.2.2, Table TS.4). {3.7.3–3.7.7} Earth system models (ESMs) simulate globally averaged land carbon sinks within the range of observation-based estimates (high confidence), but global-scale agreement masks large regional disagreements. There is also high confidence that the ESMs simulate the weakening of the global net flux of CO 2 into the ocean during the 1990s, as well as the strengthening of the flux from 2000. {3.6} Two important quantities used to estimate how the climate system responds to changes in greenhouse gas (GHG) concentrations are the equilibrium climate sensitivity (ECS) and transient climate response (TCR16). The CMIP6 ensemble has broader ranges of ECS and TCR values than CMIP5 (see Section TS.3.2 for the assessed range). These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks (medium confidence). To combine evidence from CMIP6 models and independent assessments of ECS and TCR, various emulators are used throughout the report.",False,high,high,"[('high', -0.6951172, 49.9), ('medium', -0.6951172, 49.9), ('very', -6.320117, 0.18), ('low', -8.820117, 0.01), ('High', -12.195117, 0.0)]",high,high,"[('high', -0.57830757, 56.08), ('medium', -0.82830757, 43.68), ('very', -6.2033076, 0.2), (""'"", -8.453307, 0.02), ('High', -9.953307, 0.0)]",high,high,"[('high', -0.40298554, 66.83), ('medium', -1.1529856, 31.57), ('very', -4.1529856, 1.57), ('low', -8.402986, 0.02), ('High', -11.152986, 0.0)]",high,high,"[('high', -0.40298554, 66.83), ('medium', -1.1529856, 31.57), ('very', -4.1529856, 1.57), ('low', -8.402986, 0.02), ('High', -11.152986, 0.0)]",high,high,"[('high', -0.6951172, 49.9), ('medium', -0.6951172, 49.9), ('very', -6.320117, 0.18), ('low', -8.820117, 0.01), ('High', -12.195117, 0.0)]"
151,151,6,151,AR6_WGI,85,31,Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980 ,"Model estimates suggest no significant change in the global mean abundance of hydroxyl (OH) radical, or ‘oxidizing capacity’, from 1850 to 1980",low,0,test,"Future changes in surface ozone concentrations will be primarily driven by changes in precursor emissions rather than climate change (high confidence). Stratospheric ozone has declined between 60°S–60°N by 2.2% from 1964–1980 to 2014–2017 (high confidence), with the largest declines during 1980–1995. The strongest loss of stratospheric ozone continues to occur in austral spring over Antarctica (ozone hole), with emergent signs of recovery after 2000. The 1750–2019 ERF for total (stratospheric and tropospheric) ozone is 0.47 [0.24 to 0.71] W m−2, which is dominated by tropospheric ozone changes. {2.2.5, 6.3.2, 7.3.2, 7.3.5} The global mean abundance of hydroxyl (OH) radical, or ‘oxidizing capacity’, chemically regulates the lifetimes of many SLCFs, and therefore the radiative forcing of CH 4, ozone, secondary aerosols and many halogenated species. Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980 (low confidence). Increases of about 9% over 1980–2014 computed by ESMs and carbon cycle models are not confirmed by observationally constrained inverse models, rendering an overall medium confidence in stable OH or positive trends since the 1980s, and implying that OH is not the primary driver of recent observed growth in CH 4.",False,medium,medium,"[('medium', -0.48315018, 61.68), ('high', -0.9831502, 37.41), ('very', -5.23315, 0.53), ('low', -6.10815, 0.22), (""'"", -6.73315, 0.12)]",high,high,"[('high', -0.5996276, 54.9), ('medium', -0.8496276, 42.76), ('very', -3.8496275, 2.13), ('low', -6.2246275, 0.2), (""'"", -9.4746275, 0.01)]",medium,medium,"[('medium', -0.43606102, 64.66), ('high', -1.061061, 34.61), ('low', -5.311061, 0.49), ('very', -6.061061, 0.23), (""'"", -10.311061, 0.0)]",high,high,"[('high', -0.53554124, 58.54), ('medium', -0.91054124, 40.23), ('very', -4.785541, 0.83), ('low', -5.785541, 0.31), (""'"", -7.160541, 0.08)]",medium,medium,"[('medium', -0.3939253, 67.44), ('high', -1.1439253, 31.86), ('low', -5.393925, 0.45), ('very', -6.018925, 0.24), (""'"", -10.643926, 0.0)]"
157,157,7,157,AR6_WGI,87,27,Projected changes in the intensity depend on the resolution of climate models ,Projected changes in the intensity of extratopical cyclones in the Southern Hemisphere depend on the resolution of climate models,medium,1,test,"There is medium confidence that the average location where TCs reach their maximum wind-intensity will migrate poleward in the western North Pacific Ocean, while the total global frequency of TC formation will decrease or remain unchanged with increasing global warming. {11.7.1} There is low confidence in observed recent changes in the total number of extratropical cyclones over both hemispheres. There is also low confidence in past-century trends in the number and intensity of the strongest extratropical cyclones over the Northern Hemisphere due to the large interannual-to-decadal variability and temporal and spatial heterogeneities in the volume and type of assimilated data in atmospheric reanalyses, particularly before the satellite era. Over the Southern Hemisphere, it is likely that the number of extratropical cyclones with low central pressures (<980 hPa) has increased since 1979. The frequency of intense extratropical cyclones is projected to decrease (medium confidence). Projected changes in the intensity depend on the resolution of climate models (medium confidence). There is medium confidence that wind speeds associated with extratropical cyclones will change following changes in the storm tracks.",False,medium,medium,"[('medium', -0.3149804, 72.98), ('high', -1.3149804, 26.85), ('very', -6.6899805, 0.12), ('low', -7.6899805, 0.05), (""'"", -12.3149805, 0.0)]",high,high,"[('high', -0.69551146, 49.88), ('medium', -0.69551146, 49.88), ('very', -6.6955113, 0.12), ('High', -7.9455113, 0.04), ('low', -7.9455113, 0.04)]",high,high,"[('high', -0.5818033, 55.89), ('medium', -0.8318033, 43.53), ('very', -5.4568033, 0.43), ('low', -6.4568033, 0.16), (' high', -13.331803, 0.0)]",high,high,"[('high', -0.5818033, 55.89), ('medium', -0.8318033, 43.53), ('very', -5.4568033, 0.43), ('low', -6.4568033, 0.16), (' high', -13.331803, 0.0)]",medium,medium,"[('medium', -0.6352875, 52.98), ('high', -0.7602875, 46.75), ('very', -6.7602873, 0.12), ('High', -7.2602873, 0.07), ('Medium', -7.3852873, 0.06)]"
162,162,8,162,AR6_WGI,90,4,"A long-term increase in surface open ocean pH occurred over the past 50 million years (high confidence), and surface ocean pH as low as recent times is uncommon in the last 2 million years ","A long-term increase in surface open ocean pH occurred over the past 50 million years, and surface ocean pH as low as recent times is uncommon in the last 2 million years",medium,1,test,"{4.7, Figure 4.41}(a) Best estimate (scaled) (b) High-warming models (c) Very-high-warming models 4 3 2.5 2 –2 –2.5 –3 –4 1.5 1 0 –1 –1.5SSP1-2.6 (2081–2100) (d) Best estimate (scaled) (e) High-warming models (f) Very-high-warming modelsSSP5-8.5 (2081–2100) 8 6 5 4 –4 –5 –6 –8 3 2 0 –2 –3°C °C 74 Technical Summary TSTS.2.4 The Ocean Observations, models and paleo-evidence indicate that recently observed changes in the ocean are unprecedented for centuries to millennia (high confidence). Over the past four to six decades, it is virtually certain that the global ocean has warmed, with human influence extremely likely the main driver since the 1970s, making climate change irreversible over centuries to millennia (medium confidence). It is virtually certain that upper ocean salinity contrasts have increased since the 1950s and extremely likely that human influence has contributed. It is virtually certain that upper ocean stratification has increased since 1970 and that sea water pH has declined globally over the last 40 years, with human influence being the main driver of the observed surface open ocean acidification (virtually certain). A long-term increase in surface open ocean pH occurred over the past 50 million years (high confidence), and surface ocean pH as low as recent times is uncommon in the last 2 million years (medium confidence). There is high confidence that marine heatwaves have become more frequent in the 20th century, and most of those since 2006 have been attributed to anthropogenic warming (very likely).",False,high,high,"[('high', -0.986706, 37.28), ('medium', -1.236706, 29.03), ('very', -1.611706, 19.95), ('low', -1.986706, 13.71), (""'"", -10.111706, 0.0)]",medium,medium,"[('medium', -0.5873402, 55.58), ('high', -1.5873401, 20.45), ('low', -1.7123401, 18.04), ('very', -2.96234, 5.17), (""'"", -5.4623404, 0.42)]",high,high,"[('high', -0.73741245, 47.84), ('medium', -0.98741245, 37.25), ('very', -2.2374125, 10.67), ('low', -3.2374125, 3.93), ('Very', -6.4874125, 0.15)]",high,high,"[('high', -0.5744597, 56.3), ('medium', -1.1994597, 30.14), ('very', -2.5744596, 7.62), ('low', -2.8244596, 5.93), ('Very', -10.32446, 0.0)]",medium,medium,"[('medium', -0.93102646, 39.41), ('high', -1.0560265, 34.78), ('low', -1.9310265, 14.5), ('very', -2.1810265, 11.29), ('Very', -10.681026, 0.0)]"
165,165,9,165,AR6_WGI,90,14,"Ocean warming is irreversible over centuries to millennia (medium confidence), but the magnitude of warming is scenario-dependent from about the mid-21st century ","Ocean warming is irreversible over centuries to millennia, but the magnitude of warming is CO2 emissions scenario dependent from about the mid-21st century",medium,1,test,"While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century (Figure TS.11). {2.3, 3.5, 3.6, 4.3.2, 5.3, 7.2, 9.2, Box 9.2, 12.4} It is virtually certain that the global ocean has warmed since at least 1971, representing about 90% of the increase in the global energy inventory (Section TS.3.1). The ocean is currently warming faster than at any other time since at least the last deglacial transition (medium confidence), with warming extending to depths well below 2000 m (very high confidence). It is extremely likely that human influence was the main driver of this recent ocean warming. Ocean warming will continue over the 21st century (virtually certain), and will likely continue until at least to 2300 even for low CO 2 emissions scenarios. Ocean warming is irreversible over centuries to millennia (medium confidence), but the magnitude of warming is scenario-dependent from about the mid-21st century (medium confidence). The warming will not be globally uniform, with heat primarily stored in Southern Ocean water-masses and weaker warming in the subpolar North Atlantic (high confidence).",False,very high,very high,"[('very', -0.3170559, 72.83), ('high', -1.317056, 26.79), (""'"", -6.0670557, 0.23), ('medium', -6.6920557, 0.12), ('Very', -8.692056, 0.02)]",very high,very high,"[('very', -0.3509925, 70.4), ('high', -1.2259924, 29.35), (""'"", -6.3509927, 0.17), ('medium', -7.3509927, 0.06), ('Very', -9.100992, 0.01)]",very high,very high,"[('very', -0.40102458, 66.96), ('high', -1.5260246, 21.74), ('Very', -2.5260246, 8.0), (""'"", -3.6510246, 2.6), ('High', -5.151025, 0.58)]",very high,very high,"[('very', -0.40102458, 66.96), ('high', -1.5260246, 21.74), ('Very', -2.5260246, 8.0), (""'"", -3.6510246, 2.6), ('High', -5.151025, 0.58)]",very high,very high,"[('very', -0.16052134, 85.17), ('high', -1.9105214, 14.8), ('medium', -8.2855215, 0.03), (""'"", -10.6605215, 0.0), ('Very', -11.2855215, 0.0)]"
