,Unnamed: 0.1,Unnamed: 0,statement_idx,report,page_num,sent_num,original_statement,final_statement,confidence,score,split,context,has_confidence_in_final_statement,raw_output_1,model_confidence_classification_1,model_logprobs1,raw_output_2,model_confidence_classification_2,model_logprobs2,raw_output_3,model_confidence_classification_3,model_logprobs3,raw_output_4,model_confidence_classification_4,model_logprobs4,raw_output_5,model_confidence_classification_5,model_logprobs5
3,3,0,3,AR6_WGI,24,2,"Since 1750, increases in CO 2 (47%) and CH 4 (156%) concentrations far exceed – and increases in N 2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years ","Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years",very high,3,test,"Estimates account for both direct emissions into the atmosphere and their effect, if any, on other climate drivers. For aerosols, both direct effects (through radiation) and indirect effects (through interactions with clouds) are considered. {Cross-Chapter Box 2.3, 3.3.1, 6.4.2, 7.3}Observed warming is driven by emissions from human activities, with greenhouse gas warming partly masked by aerosol cooling ºC –0.5 –1.00.00.51.01.52.0ºC –0.5 –1.00.00.51.01.52.0ºC –0.5 –1.00.00.51.01.52.0 Halogenated gases Nitrogen oxides Sulphur dioxide Volatile organic compoundsand carbon monoxide Organic carbon Black carbon Ammonia Land-use reﬂectanceand irrigation Aviation contrails Total human inﬂuence Well-mixed greenhouse gases Other human drivers Solar and volcanic drivers Internal variability Carbon dioxide Methane Nitrous oxide Mainly contribute to changes in non-CO₂ greenhouse gasesMainly contribute to changes in anthropogenic aerosols (b) Aggregated contributions to 2010– 2019 warming relative to 1850– 1900, assessed from attribution studies (a) Observed warming 2010– 2019 relative to 1850– 1900 Contributions to warming based on two complementary approaches Observed warming (c) Contributions to 2010– 2019 warming relative to 1850– 1900, assessed from radiative forcing studies 8SPM Summary for PolicymakersA.2 The scale of recent changes across the climate system as a whole – and the present state of many aspects of the climate system – are unprecedented over many centuries to many thousands of years. {2.2, 2.3, Cross-Chapter Box 2.1, 5.1} (Figure SPM.1) A.2.1 In 2019, atmospheric CO 2 concentrations were higher than at any time in at least 2 million years (high confidence), and concentrations of CH 4 and N 2O were higher than at any time in at least 800,000 years (very high confidence). Since 1750, increases in CO 2 (47%) and CH 4 (156%) concentrations far exceed – and increases in N 2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years (very high confidence). {2.2, 5.1, TS.2.2} A.2.2 Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years (high confidence).",False,very high,very high,"[('very', -0.0045455885, 99.55), ('high', -5.5045457, 0.41), ('Statement', -8.254545, 0.03), ('Confidence', -8.754545, 0.02), (""'"", -10.879545, 0.0)]",very high,very high,"[('very', -0.004175272, 99.58), ('Statement', -6.504175, 0.15), ('Confidence', -6.754175, 0.12), ('Very', -7.004175, 0.09), ('high', -7.504175, 0.06)]",very high,very high,"[('very', -0.004175272, 99.58), ('Statement', -6.504175, 0.15), ('Confidence', -6.754175, 0.12), ('Very', -7.004175, 0.09), ('high', -7.504175, 0.06)]",very high,very high,"[('very', -0.009170376, 99.09), ('high', -5.3841705, 0.46), ('Statement', -6.0091705, 0.25), ('Confidence', -6.2591705, 0.19), ('Very', -9.134171, 0.01)]",very high,very high,"[('very', -0.009170376, 99.09), ('high', -5.3841705, 0.46), ('Statement', -6.0091705, 0.25), ('Confidence', -6.2591705, 0.19), ('Very', -9.134171, 0.01)]"
42,42,1,42,AR6_WGI,37,16,"Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia ","Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia",low,0,test,"Continued ice loss over the 21st century is virtually certain for the Greenland Ice Sheet and likely for the Antarctic Ice Sheet. There is high confidence that total ice loss from the Greenland Ice Sheet will increase with cumulative emissions. There is limited evidence for low-likelihood, high-impact outcomes (resulting from ice-sheet instability processes characterized by deep uncertainty and in some cases involving tipping points) that would strongly increase ice loss from the Antarctic Ice Sheet for centuries under high GHG emissions scenarios.34 {4.3, 4.7, 5.4, 9.4, 9.5, Box 9.4, Box TS.1, TS.2.5} B.5.3 It is virtually certain that global mean sea level will continue to rise over the 21st century. Relative to 1995–2014, the likely global mean sea level rise by 2100 is 0.28–0.55 m under the very low GHG emissions scenario (SSP1-1.9); 0.32–0.62 m under the low GHG emissions scenario (SSP1-2.6); 0.44–0.76 m under the intermediate GHG emissions scenario (SSP2-4.5); and 0.63–1.01 m under the very high GHG emissions scenario (SSP5-8.5); and by 2150 is 0.37–0.86 m under the very low scenario (SSP1-1.9); 0.46–0.99 m under the low scenario (SSP1-2.6); 0.66–1.33 m under the intermediate scenario (SSP2-4.5); and 0.98–1.88 m under the very high scenario (SSP5-8.5) (medium confidence).35 Global mean sea level rise above the likely range – approaching 2 m by 2100 and 5 m by 2150 under a very high GHG emissions scenario (SSP5-8.5) (low confidence) – cannot be ruled out due to deep uncertainty in ice-sheet processes. {4.3, 9.6, Box 9.4, Box TS.4} (Figure SPM.8) B.5.4 In the longer term, sea level is committed to rise for centuries to millennia due to continuing deep-ocean warming and ice-sheet melt and will remain elevated for thousands of years (high confidence). Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia (low confidence). Projections of multi-millennial global mean sea level rise are consistent with reconstructed levels during past warm climate periods: likely 5–10 m higher than today around 125,000 years ago, when global temperatures were very likely 0.5°C–1.5°C higher than 1850–1900; and very likely 5–25 m higher roughly 3 million years ago, when global temperatures were 2.5°C–4°C higher (medium confidence).",False,high,high,"[('high', -0.087209016, 91.65), ('very', -3.087209, 4.56), ('medium', -3.337209, 3.55), (""'"", -7.212209, 0.07), ('low', -7.462209, 0.06)]",high,high,"[('high', -0.087209016, 91.65), ('very', -3.087209, 4.56), ('medium', -3.337209, 3.55), (""'"", -7.212209, 0.07), ('low', -7.462209, 0.06)]",high,high,"[('high', -0.19729522, 82.09), ('very', -2.0722952, 12.59), ('medium', -3.0722952, 4.63), ('Statement', -5.822295, 0.3), (""'"", -6.197295, 0.2)]",high,high,"[('high', -0.087209016, 91.65), ('very', -3.087209, 4.56), ('medium', -3.337209, 3.55), (""'"", -7.212209, 0.07), ('low', -7.462209, 0.06)]",high,high,"[('high', -0.33577046, 71.48), ('medium', -1.8357705, 15.95), ('very', -2.3357704, 9.67), ('Statement', -3.8357704, 2.16), ('low', -5.7107706, 0.33)]"
77,77,2,77,AR6_WGI,47,7,"By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios ","By the end of the century, scenarios with very low and low greenhouse gas (GHG) emissions would strongly limit the change of several climactic impact drivers (CIDs), such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios",high,2,test,"{6.6, 6.7, Box TS.7}. D.2.3 Scenarios with very low or low GHG emissions (SSP1-1.9 and SSP1-2.6) would have rapid and sustained effects to limit human-caused climate change, compared with scenarios with high or very high GHG emissions (SSP3-7.0 or SSP5-8.5), but early responses of the climate system can be masked by natural variability. For global surface temperature, differences in 20-year trends would likely emerge during the near term under a very low GHG emissions scenario (SSP1-1.9), relative to a high or very high GHG emissions scenario (SSP3-7.0 or SSP5-8.5). The response of many other climate variables would emerge from natural variability at different times later in the 21st century (high confidence). {4.6, Cross-Section Box TS.1} (Figure SPM.8, Figure SPM.10) D.2.4 Scenarios with very low and low GHG emissions (SSP1-1.9 and SSP1-2.6) would lead to substantially smaller changes in a range of CIDs36 beyond 2040 than under high and very high GHG emissions scenarios (SSP3-7.0 and SSP5-8.5). By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios (high confidence). Changes would also be smaller in very low compared to low GHG emissions scenarios, as well as for intermediate (SSP2-4.5) compared to high or very high GHG emissions scenarios (high confidence).",False,very high,very high,"[('very', -0.04924861, 95.19), ('high', -3.0492487, 4.74), ('medium', -8.799249, 0.02), ('Confidence', -8.799249, 0.02), ('Very', -8.924249, 0.01)]",very high,very high,"[('very', -0.20405596, 81.54), ('high', -1.704056, 18.19), ('Statement', -6.454056, 0.16), ('medium', -7.454056, 0.06), ('Confidence', -8.329056, 0.02)]",very high,very high,"[('very', -0.04924861, 95.19), ('high', -3.0492487, 4.74), ('medium', -8.799249, 0.02), ('Confidence', -8.799249, 0.02), ('Very', -8.924249, 0.01)]",very high,very high,"[('very', -0.018587671, 98.16), ('high', -4.0185876, 1.8), (""'"", -8.893588, 0.01), ('Very', -8.893588, 0.01), ('Statement', -9.768588, 0.01)]",very high,very high,"[('very', -0.20405596, 81.54), ('high', -1.704056, 18.19), ('Statement', -6.454056, 0.16), ('medium', -7.454056, 0.06), ('Confidence', -8.329056, 0.02)]"
81,81,3,81,AR6_WGI,62,2,"Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions ","Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions",medium,1,test,"{1.3.2, 1.5.1, Cross-Chapter Boxes 2.1 and 2.4} Global surface temperature. Since AR5, updated climate forcings, improved models, new understanding of the strengths and weaknesses of a growing array of proxy records, better chronologies and more robust proxy data products have led to better agreement between models and reconstructions. For global surface temperature, the mid-point of the AR6-assessed range and the median of the model-simulated temperatures differ by an average of 0.5°C across five reference periods; they overlap within their lower 1850–1900Reference period (*See Interactive Atlas for climate model output) Recent past Approximate pre-industrial Last Millennium Mid-Holocene* Last Deglacial Transition Last Glacial Maximum* Last Interglacial* Mid-Pliocene Warm Period* Early Eocene Paleocene-Eocene Thermal Maximum X to Y: very likely range (caveats in Figure 2.34) X Y: start to end of period, with no stated uncertainty X ~ Y: lowest and highest values, with not stated uncertainty1995–2014 CE 1850–1900 CE 850–1850 CE 6.5–5.5 ka 18–11 ka 23–19 ka 129–116 ka 3.3–3.0 Ma 53–49 Ma 55.9–55.7 Ma360 286 278 260 193 188 266 360 1150 900397 296 285 268 271 194 282 420 2500 2000CO 2 (ppm)Temperature (°C)Sea level (m) Age 0.66 –0.15 –0.14 0.2 –5 0.5 2.5 10 10not assessed1.00 +0.11 0.24 1.0 –7 1.5 4.0 18 25to to to to to toto to ~ to to to to to to0.15 –0.03 –0.05 –3.5 –120 –134 5 5 700.25 0.00 0.03 +0.5 –50 –125 10 25 76to to to to to to to to not assessed higherThree selected global climate indicators covary across multiple paleoclimate reference periods (a)(b) 2000 1000 500 200 100Atmospheric CO 2 (ppm) –10 –5 0 5 10 15 20Early Eocene Mid-Pliocene Recent past 1850–1900Last Interglacial Mid-Holocene Last Glacial Maximum Global surface temperature (°C) relative to 1850–1900 46 Technical Summary TSBox TS.2 (continued) 90% ranges in four of five cases, which together span from about 6 [5 to 7]°C colder during the Last Glacial Maximum to about 14 [10 to 18] °C warmer during the Early Eocene, relative to 1850–1900 (Box TS.2, Figure 2a). Changes in temperature by latitude in response to multiple forcings show that polar amplification (stronger warming at high latitudes than the global average) is a prominent feature of the climate system across multiple climate states, and the ability of models to simulate this polar amplification in past warm climates has improved since AR5 (high confidence). Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions (medium confidence), except for some short periods immediately following large volcanic eruptions, for which different forcing datasets disagree (Box TS.2, Figure 2b). {2.3.1.1, 3.3.3.1, 3.8.2.1, 7.4.4.1.2} Box TS.2, Figure 2 | Global surface temperature as estimated from proxy records (reconstructed) and climate models (simulated).",False,high,high,"[('high', -0.18069762, 83.47), ('medium', -1.9306977, 14.5), ('very', -3.9306977, 1.96), ('low', -8.055697, 0.03), (""'"", -8.555697, 0.02)]",high,high,"[('high', -0.18069762, 83.47), ('medium', -1.9306977, 14.5), ('very', -3.9306977, 1.96), ('low', -8.055697, 0.03), (""'"", -8.555697, 0.02)]",high,high,"[('high', -0.37283146, 68.88), ('medium', -1.7478315, 17.42), ('very', -1.9978315, 13.56), ('low', -7.2478313, 0.07), ('Confidence', -7.8728313, 0.04)]",high,high,"[('high', -0.2188592, 80.34), ('medium', -1.7188592, 17.93), ('very', -4.093859, 1.67), ('low', -7.968859, 0.03), (""'"", -8.718859, 0.02)]",high,high,"[('high', -0.18412392, 83.18), ('medium', -2.184124, 11.26), ('very', -2.934124, 5.32), ('Confidence', -6.684124, 0.13), ('low', -7.059124, 0.09)]"
86,86,4,86,AR6_WGI,63,8,"This paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment (see Core Concepts Box), essentially irreversible on human time scales ","The paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment, essentially irreversible on human time scales",high,2,test,"For example, under a past global warming levels of around [2.5°C to 4°C] relative to 1850–1900, like during the mid-Pliocene Warm Period, sea level was [5 to 25 m] higher than 1900 (medium confidence); under past global warming levels of [10°C to 18°C], like during the Early Eocene, the planet was essentially ice free (high confidence). Constraints from these past warm periods, combined with physical understanding, glaciology and modelling, indicate a committed long-term GMSL rise over 10,000 years, reaching about 8 to 13 m for sustained peak global warming of 2°C and up to 28 to 37 m for 5°C, which exceeds the AR5 estimate. {2.3.3.3, 9.4.1.4, 9.4.2.6, 9.6.2, 9.6.3.5} Ocean. Since AR5, better integration of paleo-oceanographic data with modelling along with higher-resolution analyses of transient changes have improved understanding of long-term ocean processes. Low-latitude sea surface temperatures at the Last Glacial Maximum cooled more than previously inferred, resolving some inconsistencies noted in AR5. This paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment (see Core Concepts Box), essentially irreversible on human time scales (high confidence). Estimates of past global OHC variations generally track those of sea surface temperatures around Antarctica, underscoring the importance of Southern Ocean processes in regulating deep-ocean temperatures.",False,very high,very high,"[('very', -0.46369618, 62.9), ('high', -1.2136962, 29.71), ('Confidence', -2.7136962, 6.63), ('Statement', -5.713696, 0.33), ('medium', -6.213696, 0.2)]",very high,very high,"[('very', -0.26087064, 77.04), ('high', -1.5108707, 22.07), ('Confidence', -5.3858705, 0.46), ('medium', -6.6358705, 0.13), ('Statement', -6.7608705, 0.12)]",very high,very high,"[('very', -0.78310066, 45.7), ('Confidence', -0.78310066, 45.7), ('high', -2.5331006, 7.94), ('Statement', -5.6581006, 0.35), ('medium', -6.4081006, 0.16)]",very high,very high,"[('very', -0.78310066, 45.7), ('Confidence', -0.78310066, 45.7), ('high', -2.5331006, 7.94), ('Statement', -5.6581006, 0.35), ('medium', -6.4081006, 0.16)]",very high,very high,"[('very', -0.12878391, 87.92), ('high', -2.878784, 5.62), ('Confidence', -3.128784, 4.38), ('Statement', -4.2537837, 1.42), ('Very', -5.7537837, 0.32)]"
98,98,5,98,AR6_WGI,65,30,"These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks "," The higher equilibrium climate sensitivity (ECS) and transient climate response (TCR) sensitivities in the coupled model intercomparison project 6 (CMIP6) ensemble than CMIP5 can, in some models, be traced to changes in extratropical cloud feedbacks",medium,1,test,"Model performance is limited in reproducing sea surface temperature anomalies for decadal modes of variability, despite improvements from CMIP5 to CMIP6 (medium confidence) (see also Section TS.1.4.2.2, Table TS.4). {3.7.3–3.7.7} Earth system models (ESMs) simulate globally averaged land carbon sinks within the range of observation-based estimates (high confidence), but global-scale agreement masks large regional disagreements. There is also high confidence that the ESMs simulate the weakening of the global net flux of CO 2 into the ocean during the 1990s, as well as the strengthening of the flux from 2000. {3.6} Two important quantities used to estimate how the climate system responds to changes in greenhouse gas (GHG) concentrations are the equilibrium climate sensitivity (ECS) and transient climate response (TCR16). The CMIP6 ensemble has broader ranges of ECS and TCR values than CMIP5 (see Section TS.3.2 for the assessed range). These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks (medium confidence). To combine evidence from CMIP6 models and independent assessments of ECS and TCR, various emulators are used throughout the report.",False,high,high,"[('high', -0.6646991, 51.44), ('medium', -0.9146991, 40.06), ('Confidence', -2.664699, 6.96), ('very', -4.789699, 0.83), ('High', -6.039699, 0.24)]",high,high,"[('high', -0.3730656, 68.86), ('medium', -1.3730656, 25.33), ('Confidence', -3.1230655, 4.4), ('Statement', -4.9980655, 0.68), ('very', -5.6230655, 0.36)]",high,high,"[('high', -0.27190343, 76.19), ('medium', -1.5219034, 21.83), ('very', -4.3969035, 1.23), ('Confidence', -5.3969035, 0.45), ('low', -6.5219035, 0.15)]",Confidence: high,high,"[('Confidence', -0.04139958, 95.94), ('high', -4.0413995, 1.76), ('Statement', -4.5413995, 1.07), ('medium', -4.7913995, 0.83), ('High', -6.2913995, 0.19)]",Confidence: high,high,"[('Confidence', -0.46758762, 62.65), ('high', -1.4675876, 23.05), ('medium', -2.2175877, 10.89), ('Statement', -4.2175875, 1.47), ('High', -4.9675875, 0.7)]"
151,151,6,151,AR6_WGI,85,31,Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980 ,"Model estimates suggest no significant change in the global mean abundance of hydroxyl (OH) radical, or ‘oxidizing capacity’, from 1850 to 1980",low,0,test,"Future changes in surface ozone concentrations will be primarily driven by changes in precursor emissions rather than climate change (high confidence). Stratospheric ozone has declined between 60°S–60°N by 2.2% from 1964–1980 to 2014–2017 (high confidence), with the largest declines during 1980–1995. The strongest loss of stratospheric ozone continues to occur in austral spring over Antarctica (ozone hole), with emergent signs of recovery after 2000. The 1750–2019 ERF for total (stratospheric and tropospheric) ozone is 0.47 [0.24 to 0.71] W m−2, which is dominated by tropospheric ozone changes. {2.2.5, 6.3.2, 7.3.2, 7.3.5} The global mean abundance of hydroxyl (OH) radical, or ‘oxidizing capacity’, chemically regulates the lifetimes of many SLCFs, and therefore the radiative forcing of CH 4, ozone, secondary aerosols and many halogenated species. Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980 (low confidence). Increases of about 9% over 1980–2014 computed by ESMs and carbon cycle models are not confirmed by observationally constrained inverse models, rendering an overall medium confidence in stable OH or positive trends since the 1980s, and implying that OH is not the primary driver of recent observed growth in CH 4.",False,medium,medium,"[('medium', -0.35086215, 70.41), ('high', -1.3508621, 25.9), ('low', -3.725862, 2.41), ('very', -5.100862, 0.61), ('Confidence', -5.100862, 0.61)]",medium,medium,"[('medium', -0.32634026, 72.16), ('high', -1.3263402, 26.54), ('very', -4.95134, 0.71), ('low', -5.20134, 0.55), (""'"", -8.201341, 0.03)]",medium,medium,"[('medium', -0.32634026, 72.16), ('high', -1.3263402, 26.54), ('very', -4.95134, 0.71), ('low', -5.20134, 0.55), (""'"", -8.201341, 0.03)]",medium,medium,"[('medium', -0.21279328, 80.83), ('high', -1.7127932, 18.04), ('very', -4.9627934, 0.7), ('low', -5.4627934, 0.42), ('I', -10.212793, 0.0)]",medium,medium,"[('medium', -0.40292704, 66.84), ('high', -1.152927, 31.57), ('very', -4.652927, 0.95), ('low', -5.152927, 0.58), (""'"", -7.777927, 0.04)]"
157,157,7,157,AR6_WGI,87,27,Projected changes in the intensity depend on the resolution of climate models ,Projected changes in the intensity of extratopical cyclones in the Southern Hemisphere depend on the resolution of climate models,medium,1,test,"There is medium confidence that the average location where TCs reach their maximum wind-intensity will migrate poleward in the western North Pacific Ocean, while the total global frequency of TC formation will decrease or remain unchanged with increasing global warming. {11.7.1} There is low confidence in observed recent changes in the total number of extratropical cyclones over both hemispheres. There is also low confidence in past-century trends in the number and intensity of the strongest extratropical cyclones over the Northern Hemisphere due to the large interannual-to-decadal variability and temporal and spatial heterogeneities in the volume and type of assimilated data in atmospheric reanalyses, particularly before the satellite era. Over the Southern Hemisphere, it is likely that the number of extratropical cyclones with low central pressures (<980 hPa) has increased since 1979. The frequency of intense extratropical cyclones is projected to decrease (medium confidence). Projected changes in the intensity depend on the resolution of climate models (medium confidence). There is medium confidence that wind speeds associated with extratropical cyclones will change following changes in the storm tracks.",False,medium,medium,"[('medium', -0.06522738, 93.69), ('high', -2.8152273, 5.99), ('low', -5.8152275, 0.3), ('very', -9.0652275, 0.01), (""'"", -9.5652275, 0.01)]",medium,medium,"[('medium', -0.19575876, 82.22), ('high', -2.1957588, 11.13), ('Confidence', -2.9457588, 5.26), ('low', -4.820759, 0.81), ('Medium', -6.070759, 0.23)]",medium,medium,"[('medium', -0.06522738, 93.69), ('high', -2.8152273, 5.99), ('low', -5.8152275, 0.3), ('very', -9.0652275, 0.01), (""'"", -9.5652275, 0.01)]",medium,medium,"[('medium', -0.1213233, 88.57), ('high', -2.2463233, 10.58), ('Confidence', -5.371323, 0.46), ('low', -6.121323, 0.22), ('very', -7.121323, 0.08)]",medium,medium,"[('medium', -0.14845316, 86.2), ('high', -2.0234532, 13.22), ('low', -5.273453, 0.51), ('very', -8.773453, 0.02), ('I', -8.898453, 0.01)]"
162,162,8,162,AR6_WGI,90,4,"A long-term increase in surface open ocean pH occurred over the past 50 million years (high confidence), and surface ocean pH as low as recent times is uncommon in the last 2 million years ","A long-term increase in surface open ocean pH occurred over the past 50 million years, and surface ocean pH as low as recent times is uncommon in the last 2 million years",medium,1,test,"{4.7, Figure 4.41}(a) Best estimate (scaled) (b) High-warming models (c) Very-high-warming models 4 3 2.5 2 –2 –2.5 –3 –4 1.5 1 0 –1 –1.5SSP1-2.6 (2081–2100) (d) Best estimate (scaled) (e) High-warming models (f) Very-high-warming modelsSSP5-8.5 (2081–2100) 8 6 5 4 –4 –5 –6 –8 3 2 0 –2 –3°C °C 74 Technical Summary TSTS.2.4 The Ocean Observations, models and paleo-evidence indicate that recently observed changes in the ocean are unprecedented for centuries to millennia (high confidence). Over the past four to six decades, it is virtually certain that the global ocean has warmed, with human influence extremely likely the main driver since the 1970s, making climate change irreversible over centuries to millennia (medium confidence). It is virtually certain that upper ocean salinity contrasts have increased since the 1950s and extremely likely that human influence has contributed. It is virtually certain that upper ocean stratification has increased since 1970 and that sea water pH has declined globally over the last 40 years, with human influence being the main driver of the observed surface open ocean acidification (virtually certain). A long-term increase in surface open ocean pH occurred over the past 50 million years (high confidence), and surface ocean pH as low as recent times is uncommon in the last 2 million years (medium confidence). There is high confidence that marine heatwaves have become more frequent in the 20th century, and most of those since 2006 have been attributed to anthropogenic warming (very likely).",False,high,high,"[('high', -0.7288575, 48.25), ('medium', -1.1038575, 33.16), ('very', -2.3538575, 9.5), ('low', -2.4788575, 8.38), ('I', -5.2288575, 0.54)]",very high,very high,"[('very', -1.080479, 33.94), ('high', -1.080479, 33.94), ('medium', -1.580479, 20.59), ('Confidence', -2.3304791, 9.72), ('low', -4.580479, 1.02)]",high,high,"[('high', -0.38012514, 68.38), ('medium', -1.7551252, 17.29), ('very', -2.130125, 11.88), ('Confidence', -4.505125, 1.11), ('low', -4.630125, 0.98)]",high,high,"[('high', -0.48325127, 61.68), ('very', -1.7332513, 17.67), ('medium', -1.7332513, 17.67), ('Confidence', -4.108251, 1.64), ('low', -4.733251, 0.88)]",high,high,"[('high', -0.49987677, 60.66), ('medium', -1.2498767, 28.65), ('very', -2.4998767, 8.21), ('low', -3.8748767, 2.08), ('I', -6.124877, 0.22)]"
165,165,9,165,AR6_WGI,90,14,"Ocean warming is irreversible over centuries to millennia (medium confidence), but the magnitude of warming is scenario-dependent from about the mid-21st century ","Ocean warming is irreversible over centuries to millennia, but the magnitude of warming is CO2 emissions scenario dependent from about the mid-21st century",medium,1,test,"While there is low confidence in 20th century AMOC change, it is very likely that AMOC will decline over the 21st century (Figure TS.11). {2.3, 3.5, 3.6, 4.3.2, 5.3, 7.2, 9.2, Box 9.2, 12.4} It is virtually certain that the global ocean has warmed since at least 1971, representing about 90% of the increase in the global energy inventory (Section TS.3.1). The ocean is currently warming faster than at any other time since at least the last deglacial transition (medium confidence), with warming extending to depths well below 2000 m (very high confidence). It is extremely likely that human influence was the main driver of this recent ocean warming. Ocean warming will continue over the 21st century (virtually certain), and will likely continue until at least to 2300 even for low CO 2 emissions scenarios. Ocean warming is irreversible over centuries to millennia (medium confidence), but the magnitude of warming is scenario-dependent from about the mid-21st century (medium confidence). The warming will not be globally uniform, with heat primarily stored in Southern Ocean water-masses and weaker warming in the subpolar North Atlantic (high confidence).",False,very high,very high,"[('very', -0.35899228, 69.84), ('high', -1.3589923, 25.69), ('Confidence', -3.3589923, 3.48), ('Statement', -5.483992, 0.42), ('Very', -5.983992, 0.25)]",very high,very high,"[('very', -0.27893454, 75.66), ('high', -1.9039345, 14.9), ('Confidence', -2.5289345, 7.97), ('Statement', -5.1539345, 0.58), ('Very', -5.1539345, 0.58)]",very high,very high,"[('very', -0.1837031, 83.22), ('high', -1.9337031, 14.46), ('Confidence', -3.9337032, 1.96), ('medium', -6.183703, 0.21), ('Statement', -6.683703, 0.13)]",very high,very high,"[('very', -0.2881596, 74.96), ('Confidence', -1.7881596, 16.73), ('high', -3.0381596, 4.79), ('Statement', -3.5381596, 2.91), ('medium', -5.7881594, 0.31)]",very high,very high,"[('very', -0.3098005, 73.36), ('high', -1.5598005, 21.02), ('Confidence', -3.0598006, 4.69), ('Very', -5.6848006, 0.34), ('High', -5.8098006, 0.3)]"
