input,source,prediction
Paula burned a girl.,recogs,idk
A boy hoped that Liam hoped that the hippo drew.,recogs,idk
A chicken wanted to crawl.,recogs,idk
The duck on a boat was given a cake in the room.,recogs,idk
Charlotte served a girl Paula.,recogs,idk
A girl returned Lina to a teacher.,recogs,idk
The baby proved that Mason squeezed a ball beside the key.,recogs,idk
The girl sketched Paula.,recogs,idk
Emma shattered the cake in a house.,recogs,idk
The professor liked Lina.,recogs,idk
Noah ate Paula.,recogs,idk
A girl enjoyed to crawl.,recogs,idk
The child liked that a hippo cooked.,recogs,idk
Addison rolled the shark.,recogs,idk
The girl teleported a bat to Elizabeth.,recogs,low
A liver was blessed by Mia.,recogs,idk
Emma expected that the hippo sketched.,recogs,idk
Liam shipped the cat the melon.,recogs,idk
A cat liked that a girl liked that the customer offered Paula to a boy.,recogs,idk
A patient rolled Lina.,recogs,idk
Amelia respected that a cockroach attempted to walk.,recogs,idk
Nathan examined a hedgehog.,recogs,idk
Charlie needed to dust.,recogs,idk
A girl touched Paula.,recogs,idk
Olivia shattered the strawberry.,recogs,idk
The hero confessed that a hippo ate.,recogs,idk
Charlie gave Emma a book beside the stage.,recogs,idk
The girl declared that a tiger squeezed a lion.,recogs,idk
The captain awarded the hedgehog on the stool to the girl.,recogs,idk
A hen liked that the cobra shortened.,recogs,idk
Logan confessed that a hippo laughed.,recogs,idk
Emma believed that Noah gave Liam Paula.,recogs,idk
The boy believed that Benjamin supported that the girl liked that Lucas noticed that the cake slid.,recogs,idk
The girl shipped Emma the cake.,recogs,idk
A shark gave a cat the cake.,recogs,idk
A girl thought that the cobra rolled.,recogs,idk
The child liked that a hippo dusted.,recogs,idk
Paula rolled the hamburger in a car.,recogs,idk
A girl liked that Elijah said that Liam noticed that Emma liked that a bird liked that Oliver hoped that the lion dreamed that the chicken liked that a cake crumpled.,recogs,idk
The mouse shattered the lollipop.,recogs,idk
Elizabeth squeezed the strawberry beside a crystal.,recogs,idk
A landlord wanted to crawl.,recogs,idk
The girl in a house ate.,recogs,idk
A boy decomposed Lina.,recogs,idk
The boy declared that Natalie said that Gabriel hoped that a doctor liked that Liam ate a donut.,recogs,idk
Emma burned the hedgehog.,recogs,idk
Logan gave the cat Paula.,recogs,idk
Emma posted a shark to Olivia.,recogs,idk
The cockroach rolled a drink in a coffin.,recogs,idk
The frog in a room juggled.,recogs,idk
Emma baked Luke.,recogs,idk
Emma baked the block beside the table.,recogs,idk
The goose lended Alexander a donut beside a glass on the piano beside the stage on the speaker beside the chair in the house beside a toy on the bed beside a seat in the cabinet in the storage on the plate.,recogs,idk
Liam gave Paula to Oliver.,recogs,idk
The girl wished that a crocodile declared that the boy admired that Emma liked that Evelyn was passed a drink.,recogs,idk
Emma liked that Paula adored Harper.,recogs,idk
Paula froze a boy.,recogs,idk
Joshua liked that Mason hoped that Amelia awarded the shark beside the stage in the tent to a cat.,recogs,idk
James rolled Lina.,recogs,idk
A puppy liked Lina.,recogs,idk
A priest liked that a hippo ate.,recogs,idk
A cake was blessed by a dog.,recogs,idk
William squeezed the drink in a house.,recogs,idk
