,input,source,prediction
0,Paula burned a girl.,recogs,low
1,A boy hoped that Liam hoped that the hippo drew.,recogs,idk
2,A chicken wanted to crawl.,recogs,low
3,The duck on a boat was given a cake in the room.,recogs,idk
4,Charlotte served a girl Paula.,recogs,medium
5,A girl returned Lina to a teacher.,recogs,idk
6,The baby proved that Mason squeezed a ball beside the key.,recogs,low
7,The girl sketched Paula.,recogs,idk
8,Emma shattered the cake in a house.,recogs,low
9,The professor liked Lina.,recogs,medium
10,Noah ate Paula.,recogs,low
11,A girl enjoyed to crawl.,recogs,medium
12,The child liked that a hippo cooked.,recogs,low
13,Addison rolled the shark.,recogs,low
14,The girl teleported a bat to Elizabeth.,recogs,low
15,A liver was blessed by Mia.,recogs,low
16,Emma expected that the hippo sketched.,recogs,idk
17,Liam shipped the cat the melon.,recogs,low
18,A cat liked that a girl liked that the customer offered Paula to a boy.,recogs,low
19,A patient rolled Lina.,recogs,idk
20,Amelia respected that a cockroach attempted to walk.,recogs,low
21,Nathan examined a hedgehog.,recogs,medium
22,Charlie needed to dust.,recogs,low
23,A girl touched Paula.,recogs,low
24,Olivia shattered the strawberry.,recogs,low
25,The hero confessed that a hippo ate.,recogs,low
26,Charlie gave Emma a book beside the stage.,recogs,idk
27,The girl declared that a tiger squeezed a lion.,recogs,low
28,The captain awarded the hedgehog on the stool to the girl.,recogs,low
29,A hen liked that the cobra shortened.,recogs,idk
30,Logan confessed that a hippo laughed.,recogs,low
31,Emma believed that Noah gave Liam Paula.,recogs,idk
32,The boy believed that Benjamin supported that the girl liked that Lucas noticed that the cake slid.,recogs,low
33,The girl shipped Emma the cake.,recogs,medium
34,A shark gave a cat the cake.,recogs,low
35,A girl thought that the cobra rolled.,recogs,low
36,The child liked that a hippo dusted.,recogs,low
37,Paula rolled the hamburger in a car.,recogs,low
38,A girl liked that Elijah said that Liam noticed that Emma liked that a bird liked that Oliver hoped that the lion dreamed that the chicken liked that a cake crumpled.,recogs,low
39,The mouse shattered the lollipop.,recogs,low
40,Elizabeth squeezed the strawberry beside a crystal.,recogs,low
41,A landlord wanted to crawl.,recogs,idk
42,The girl in a house ate.,recogs,low
43,A boy decomposed Lina.,recogs,low
44,The boy declared that Natalie said that Gabriel hoped that a doctor liked that Liam ate a donut.,recogs,low
45,Emma burned the hedgehog.,recogs,low
46,Logan gave the cat Paula.,recogs,idk
47,Emma posted a shark to Olivia.,recogs,low
48,The cockroach rolled a drink in a coffin.,recogs,low
49,The frog in a room juggled.,recogs,low
50,Emma baked Luke.,recogs,low
51,Emma baked the block beside the table.,recogs,low
52,The goose lended Alexander a donut beside a glass on the piano beside the stage on the speaker beside the chair in the house beside a toy on the bed beside a seat in the cabinet in the storage on the plate.,recogs,low
53,Liam gave Paula to Oliver.,recogs,idk
54,The girl wished that a crocodile declared that the boy admired that Emma liked that Evelyn was passed a drink.,recogs,low
55,Emma liked that Paula adored Harper.,recogs,low
56,Paula froze a boy.,recogs,low
57,Joshua liked that Mason hoped that Amelia awarded the shark beside the stage in the tent to a cat.,recogs,idk
58,James rolled Lina.,recogs,idk
59,A puppy liked Lina.,recogs,low
60,A priest liked that a hippo ate.,recogs,idk
61,A cake was blessed by a dog.,recogs,low
62,William squeezed the drink in a house.,recogs,low
63,A coach longed to crawl.,recogs,idk
64,Olivia teleported the sandwich beside a chair to Liam.,recogs,low
65,The shark enjoyed to giggle.,recogs,low
66,A girl squeezed a donut.,recogs,low
67,Emma liked the hedgehog on a chair.,recogs,idk
68,The boy liked that a cobra changed.,recogs,idk
69,Asher teleported the doll to the politician.,recogs,low
70,Asher teleported a cake to Ava.,recogs,low
71,Luna hoped that the hippo slept.,recogs,idk
72,The donut on the box was eaten by the girl on a table.,recogs,medium
73,A shark sold a cat the fig.,recogs,low
74,Olivia squeezed the cookie in the cot beside the computer.,recogs,low
75,Joshua believed that a girl attempted to crawl.,recogs,idk
76,Liam teleported a seed on the table to the boy.,recogs,low
77,The fly beside the bed meant that the girl on the stool slept.,recogs,low
78,Emma liked that the cobra improved.,recogs,idk
79,The cow liked that Liam said that the student liked that the horse believed that Sophia admired that Emma hoped that Charlotte liked that the girl tolerated that Michael admired that the bear hoped that Jayden dreamed that the professor ate a donut in the room.,recogs,low
80,Audrey respected that Mason confessed that Michael liked that Emma believed that Christopher liked that the dog liked that the writer hoped that Liam dreamed that a frog proved that a squirrel painted a girl beside the skull.,recogs,low
81,The donut was blessed by Elizabeth.,recogs,low
82,The sheep hunted Paula.,recogs,low
83,The baby ate a donut beside the road in a garden beside a table beside a computer.,recogs,low
84,The monkey said that a frog liked that Noah noticed that Joshua hoped that Olivia noticed that Nathan liked that William liked that a giraffe liked that Oliver liked that the dog liked that the cat proved that a girl confessed that a cake shortened.,recogs,low
85,The girl liked that the tiger baked Emma.,recogs,low
86,Isabella tolerated that a hippo cleaned.,recogs,idk
87,Madison proved that Theodore said that a girl liked that the cat was returned a cake beside the table.,recogs,low
88,The duke handed a shark beside a table to Noah.,recogs,low
89,Olivia liked that a dog tolerated that Liam ate a hedgehog.,recogs,low
90,The boy shipped the cat the donut beside a whale.,recogs,low
91,Isabella crumpled the shark.,recogs,low
92,Anthony wanted to crawl.,recogs,idk
93,William promised a shark to the goose.,recogs,low
94,The cockroach gave the cake in the house to Emma.,recogs,low
95,James liked that a hippo gasped.,recogs,idk
96,Asher hoped that a cobra burned.,recogs,low
97,The shark passed the cake beside the table to a teacher.,recogs,low
98,Noah drew Lina.,recogs,idk
99,A cat teleported the donut to the visitor.,recogs,low
100,Ireland does not share the English language with Great Britain.,feverrefuted,low
101,Hawaii is not a state.,feverrefuted,low
102,"Kapil Sharma died April 2, 1981.",feverrefuted,low
103,Jack Black can't act.,feverrefuted,low
104,Anni-Frid Lyngstad is only Irish.,feverrefuted,low
105,Mike Pence did not increase a state's budget surplus.,feverrefuted,medium
106,"Adele does not sing the song ""Hello.""",feverrefuted,low
107,"Perth is the smallest city in Western Australia, the capitol of which is Brunswick.",feverrefuted,low
108,Boeing 737s main replacement is the Airbus A320 family.,feverrefuted,medium
109,The Danish Girl is a romantic drama TV show.,feverrefuted,low
110,The Last of Us Part II is an action-adventure feature film.,feverrefuted,low
111,Lincoln Motor Company was founded in 1919.,feverrefuted,high
112,The Taliban Shuffle: Strange Days in Afghanistan and Pakistan is based on Whiskey Tango Foxtrot.,feverrefuted,low
113,50 First Dates is an Armenian film.,feverrefuted,low
114,Pusha T refused to be featured on Humanz.,feverrefuted,medium
115,The Right Stuff's cast sued Ed Harris.,feverrefuted,low
116,Dracula is a magazine.,feverrefuted,low
117,All My Children is set in a fictional suburb of Boston.,feverrefuted,medium
118,Didier Drogba is not a professional footballer.,feverrefuted,low
119,Arjun Kapoor and Jamie Kennedy hosted the IIFA Awards in 2015.,feverrefuted,low
120,Canmore is the only destination located in Alberta.,feverrefuted,low
121,Timothy Olyphant was not born in 1968.,feverrefuted,medium
122,Sean Connery did not act in The Rock.,feverrefuted,low
123,Jeremy Allen White is an American television director.,feverrefuted,low
124,Jerry Goldsmith failed to collaborate with anybody during his career.,feverrefuted,low
125,Gemma Arterton performed in the book Hansel and Grentel: Witch Hunters.,feverrefuted,low
126,"Anaheim, California is a city with smallest population in Orange County among other cities.",feverrefuted,low
127,Laurie Hernandez is European.,feverrefuted,low
128,Shraddha Kapoor refused to ever be directed by Mohit Suri.,feverrefuted,low
129,Allen Iverson didn't make it into the NBA.,feverrefuted,low
130,R. Kelly has sold over 100 million dogs worldwide.,feverrefuted,low
131,Stockard Channing appeared in a film based on a building by Alice Hoffman.,feverrefuted,medium
132,Battle Studies World Tour was a tour by a singer-songwriter born in 1934.,feverrefuted,low
133,Willie Nelson is not on an advisory board.,feverrefuted,medium
134,Uzbekistan is not a member of the UN.,feverrefuted,low
135,Pawn Sacrifice was direct by Tobey Maguire.,feverrefuted,low
136,Charles I did not marry a Bourbon princess.,feverrefuted,medium
137,Paris Hilton is a Gemini.,feverrefuted,medium
138,All major political forces in Azerbaijan are not secular.,feverrefuted,medium
139,Linda Schuyler was uninvolved with the creation of the Degrassi series.,feverrefuted,low
140,Father of the Bride was the third film of Kimberly Williams.,feverrefuted,medium
141,The 2017 film The Mummy was based on The Reanimator by H.P. Lovecraft.,feverrefuted,low
142,American Horror Story airs on Syfy.,feverrefuted,low
143,Overwatch's production is unrelated to Blizzard Entertainment.,feverrefuted,low
144,Fahrenheit 451 was the only movie Oskar Werner ever starred in.,feverrefuted,low
145,Zlatan Ibrahimović is incapable of playing soccer.,feverrefuted,low
146,The Night Of wasn't written by Richard Price and Steven Zaillian.,feverrefuted,low
147,Fifth Harmony currently consists of 7 members.,feverrefuted,low
148,All the Pretty Horses is an action film.,feverrefuted,low
149,Karan Johar won two Golden Globe Awards.,feverrefuted,low
150,Dumb and Dumber has only ever inspired a video game.,feverrefuted,low
151,Hugh Jackman avoids roles with animal names.,feverrefuted,low
152,Gone Girl is a TV show.,feverrefuted,low
153,Quartet is a brand name.,feverrefuted,medium
154,The alternative history novel The Man in the High Castle is waiting to be adapted into a television series or a movie.,feverrefuted,low
155,Jodie Foster turned down the role she was offered The Silence of the Lambs.,feverrefuted,low
156,Caryn Mandabach was incapable of producing A Different World.,feverrefuted,medium
157,Cloud Atlas premiered at a 2012 film festival in Germany.,feverrefuted,very high
158,Rock canyons is incapable of being part of the terrain of Kazakhstan.,feverrefuted,low
159,The brown bear does not belong to the family Ursidae.,feverrefuted,low
160,Diego Costa plays for Scottish club Chelsea.,feverrefuted,low
161,Oliver Reed was a squid.,feverrefuted,low
162,Lyme disease is not caused by tick bites.,feverrefuted,low
163,Amerigo Vespucci was a dog.,feverrefuted,low
164,Page Hamilton is only a composer.,feverrefuted,low
165,Silicon Valley is in Southern California.,feverrefuted,low
166,Theodore Roosevelt was born in 1919.,feverrefuted,low
167,Michael McCary was born December of 1975.,feverrefuted,very high
168,Arjun Kapoor never hosted the IIFA Awards.,feverrefuted,medium
169,"Richmond, Virginia is home to zero of the 13 United States courts of appeals.",feverrefuted,low
170,The Hunger Games opening weekend did not gross at $152.5 million.,feverrefuted,medium
171,A Few Good Men is directed by James Cameron.,feverrefuted,low
172,There Will Be Blood is not a film.,feverrefuted,low
173,Macaulay Culkin only appeared in movies directed by Chris Columbus.,feverrefuted,low
174,Sheds are all exactly the same.,feverrefuted,low
175,Maria I of Portugal was Queen of al-Andulus.,feverrefuted,low
176,Pixar was funded by an Indian industrial designer.,feverrefuted,low
177,Formula One cars are not capable of lateral acceleration in excess of six g in corners.,feverrefuted,low
178,Venom has since become less of an antihero.,feverrefuted,medium
179,Constantine is a film that has nothing to do with an occult detective.,feverrefuted,low
180,Burundi has a temperate climate.,feverrefuted,low
181,Harry Potter is a romantic series.,feverrefuted,low
182,Rob Lowe is not American.,feverrefuted,low
183,The IBRO rates George Foreman as the eighth greatest ballplayer of all time.,feverrefuted,low
184,Bill Nye began his career as an electrical engineer.,feverrefuted,high
185,Socrates was Roman.,feverrefuted,low
186,Arya Stark is incapable of wielding any weapons.,feverrefuted,low
187,Anna Paquin was killed in Omaha.,feverrefuted,low
188,The first season of Outlander (TV series) is based on a movie.,feverrefuted,low
189,WALL-E lost all Hugo Awards nominations.,feverrefuted,medium
190,Superman was a car.,feverrefuted,low
191,Lisa Kudrow refused to work on any shows that aired on Showtime.,feverrefuted,low
192,A crown colony is against the British Empire.,feverrefuted,low
