statement_idx,report,page_num,sent_num,statement,confidence,score,split,prediction,correct
3,AR6_WGI,24,2,"Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years",very high,3,test,very high,True
42,AR6_WGI,37,16,"Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia",low,0,test,high,False
77,AR6_WGI,47,7,"By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios",high,2,test,high,True
81,AR6_WGI,62,2,"Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions",medium,1,test,medium,True
86,AR6_WGI,63,8,"The paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment, essentially irreversible on human time scales",high,2,test,very high,False
98,AR6_WGI,65,30,"These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks",medium,1,test,medium,True
151,AR6_WGI,85,31,Model estimates suggest no significant change in oxidizing capacity from 1850 to 1980,low,0,test,medium,False
157,AR6_WGI,87,27,Projected changes in the intensity depend on the resolution of climate models,medium,1,test,high,False
162,AR6_WGI,90,4,"A long-term increase in surface open ocean pH occurred over the past 50 million years, and surface ocean pH as low as recent times is uncommon in the last 2 million years",medium,1,test,high,False
165,AR6_WGI,90,14,"Ocean warming is irreversible over centuries to millennia, but the magnitude of warming is scenario-dependent from about the mid-21st century",medium,1,test,high,False
190,AR6_WGI,93,13,"The total Antarctic ice mass losses were dominated by the West Antarctic Ice Sheet, with combined West Antarctic and Peninsula annual loss rates increasing since about 2000",very high,3,test,high,False
197,AR6_WGI,93,34,"Since AR5, there is strengthened evidence for an increase in the rate of GMSL rise since the mid-20th century, with an average rate of 2.3 [1.6–3.1] mm yr–1 over the period 1971–2018 increasing to 3.7 [3.2–4.2] mm yr–1 for the period 2006–2018",high,2,test,very high,False
233,AR6_WGI,101,6,Water cycle variability and related extremes are projected to increase faster than mean changes in most regions of the world and under all emissions scenarios,high,2,test,high,True
237,AR6_WGI,101,11,"Global land precipitation has likely increased since 1950, with a faster increase since the 1980s",medium,1,test,high,False
