,input,source,prediction
0,Paula burned a girl.,recogs,high
1,A boy hoped that Liam hoped that the hippo drew.,recogs,high
2,A chicken wanted to crawl.,recogs,high
3,The duck on a boat was given a cake in the room.,recogs,high
4,Charlotte served a girl Paula.,recogs,high
5,A girl returned Lina to a teacher.,recogs,high
6,The baby proved that Mason squeezed a ball beside the key.,recogs,high
7,The girl sketched Paula.,recogs,high
8,Emma shattered the cake in a house.,recogs,high
9,The professor liked Lina.,recogs,high
10,Noah ate Paula.,recogs,high
11,A girl enjoyed to crawl.,recogs,high
12,The child liked that a hippo cooked.,recogs,high
13,Addison rolled the shark.,recogs,high
14,The girl teleported a bat to Elizabeth.,recogs,high
15,A liver was blessed by Mia.,recogs,high
16,Emma expected that the hippo sketched.,recogs,high
17,Liam shipped the cat the melon.,recogs,high
18,A cat liked that a girl liked that the customer offered Paula to a boy.,recogs,high
19,A patient rolled Lina.,recogs,high
20,Amelia respected that a cockroach attempted to walk.,recogs,high
21,Nathan examined a hedgehog.,recogs,high
22,Charlie needed to dust.,recogs,high
23,A girl touched Paula.,recogs,high
24,Olivia shattered the strawberry.,recogs,high
25,The hero confessed that a hippo ate.,recogs,high
26,Charlie gave Emma a book beside the stage.,recogs,high
27,The girl declared that a tiger squeezed a lion.,recogs,high
28,The captain awarded the hedgehog on the stool to the girl.,recogs,high
29,A hen liked that the cobra shortened.,recogs,high
30,Logan confessed that a hippo laughed.,recogs,high
31,Emma believed that Noah gave Liam Paula.,recogs,high
32,The boy believed that Benjamin supported that the girl liked that Lucas noticed that the cake slid.,recogs,high
33,The girl shipped Emma the cake.,recogs,high
34,A shark gave a cat the cake.,recogs,high
35,A girl thought that the cobra rolled.,recogs,high
36,The child liked that a hippo dusted.,recogs,high
37,Paula rolled the hamburger in a car.,recogs,high
38,A girl liked that Elijah said that Liam noticed that Emma liked that a bird liked that Oliver hoped that the lion dreamed that the chicken liked that a cake crumpled.,recogs,very high
39,The mouse shattered the lollipop.,recogs,high
40,Elizabeth squeezed the strawberry beside a crystal.,recogs,high
41,A landlord wanted to crawl.,recogs,high
42,The girl in a house ate.,recogs,high
43,A boy decomposed Lina.,recogs,high
44,The boy declared that Natalie said that Gabriel hoped that a doctor liked that Liam ate a donut.,recogs,high
45,Emma burned the hedgehog.,recogs,high
46,Logan gave the cat Paula.,recogs,high
47,Emma posted a shark to Olivia.,recogs,high
48,The cockroach rolled a drink in a coffin.,recogs,high
49,The frog in a room juggled.,recogs,high
50,Emma baked Luke.,recogs,high
51,Emma baked the block beside the table.,recogs,high
52,The goose lended Alexander a donut beside a glass on the piano beside the stage on the speaker beside the chair in the house beside a toy on the bed beside a seat in the cabinet in the storage on the plate.,recogs,very high
53,Liam gave Paula to Oliver.,recogs,high
54,The girl wished that a crocodile declared that the boy admired that Emma liked that Evelyn was passed a drink.,recogs,high
55,Emma liked that Paula adored Harper.,recogs,high
56,Paula froze a boy.,recogs,high
57,Joshua liked that Mason hoped that Amelia awarded the shark beside the stage in the tent to a cat.,recogs,high
58,James rolled Lina.,recogs,high
59,A puppy liked Lina.,recogs,high
60,A priest liked that a hippo ate.,recogs,high
61,A cake was blessed by a dog.,recogs,high
62,William squeezed the drink in a house.,recogs,high
63,A coach longed to crawl.,recogs,high
64,Olivia teleported the sandwich beside a chair to Liam.,recogs,high
65,The shark enjoyed to giggle.,recogs,low
66,A girl squeezed a donut.,recogs,high
67,Emma liked the hedgehog on a chair.,recogs,high
68,The boy liked that a cobra changed.,recogs,high
69,Asher teleported the doll to the politician.,recogs,very high
70,Asher teleported a cake to Ava.,recogs,high
71,Luna hoped that the hippo slept.,recogs,high
72,The donut on the box was eaten by the girl on a table.,recogs,high
73,A shark sold a cat the fig.,recogs,high
74,Olivia squeezed the cookie in the cot beside the computer.,recogs,high
75,Joshua believed that a girl attempted to crawl.,recogs,high
76,Liam teleported a seed on the table to the boy.,recogs,high
77,The fly beside the bed meant that the girl on the stool slept.,recogs,very high
78,Emma liked that the cobra improved.,recogs,high
79,The cow liked that Liam said that the student liked that the horse believed that Sophia admired that Emma hoped that Charlotte liked that the girl tolerated that Michael admired that the bear hoped that Jayden dreamed that the professor ate a donut in the room.,recogs,very high
80,Audrey respected that Mason confessed that Michael liked that Emma believed that Christopher liked that the dog liked that the writer hoped that Liam dreamed that a frog proved that a squirrel painted a girl beside the skull.,recogs,very high
81,The donut was blessed by Elizabeth.,recogs,high
82,The sheep hunted Paula.,recogs,low
83,The baby ate a donut beside the road in a garden beside a table beside a computer.,recogs,high
84,The monkey said that a frog liked that Noah noticed that Joshua hoped that Olivia noticed that Nathan liked that William liked that a giraffe liked that Oliver liked that the dog liked that the cat proved that a girl confessed that a cake shortened.,recogs,very high
85,The girl liked that the tiger baked Emma.,recogs,high
86,Isabella tolerated that a hippo cleaned.,recogs,high
87,Madison proved that Theodore said that a girl liked that the cat was returned a cake beside the table.,recogs,high
88,The duke handed a shark beside a table to Noah.,recogs,high
89,Olivia liked that a dog tolerated that Liam ate a hedgehog.,recogs,high
90,The boy shipped the cat the donut beside a whale.,recogs,high
91,Isabella crumpled the shark.,recogs,high
92,Anthony wanted to crawl.,recogs,high
93,William promised a shark to the goose.,recogs,high
94,The cockroach gave the cake in the house to Emma.,recogs,high
95,James liked that a hippo gasped.,recogs,high
96,Asher hoped that a cobra burned.,recogs,high
97,The shark passed the cake beside the table to a teacher.,recogs,high
98,Noah drew Lina.,recogs,high
99,A cat teleported the donut to the visitor.,recogs,very high
100,Ireland does not share the English language with Great Britain.,feverrefuted,high
101,Hawaii is not a state.,feverrefuted,very high
102,"Kapil Sharma died April 2, 1981.",feverrefuted,low
103,Jack Black can't act.,feverrefuted,low
104,Anni-Frid Lyngstad is only Irish.,feverrefuted,high
105,Mike Pence did not increase a state's budget surplus.,feverrefuted,high
106,"Adele does not sing the song ""Hello.""",feverrefuted,high
107,"Perth is the smallest city in Western Australia, the capitol of which is Brunswick.",feverrefuted,high
108,Boeing 737s main replacement is the Airbus A320 family.,feverrefuted,very high
109,The Danish Girl is a romantic drama TV show.,feverrefuted,high
110,The Last of Us Part II is an action-adventure feature film.,feverrefuted,high
111,Lincoln Motor Company was founded in 1919.,feverrefuted,high
112,The Taliban Shuffle: Strange Days in Afghanistan and Pakistan is based on Whiskey Tango Foxtrot.,feverrefuted,high
113,50 First Dates is an Armenian film.,feverrefuted,low
114,Pusha T refused to be featured on Humanz.,feverrefuted,very high
115,The Right Stuff's cast sued Ed Harris.,feverrefuted,high
116,Dracula is a magazine.,feverrefuted,high
117,All My Children is set in a fictional suburb of Boston.,feverrefuted,high
118,Didier Drogba is not a professional footballer.,feverrefuted,low
119,Arjun Kapoor and Jamie Kennedy hosted the IIFA Awards in 2015.,feverrefuted,high
120,Canmore is the only destination located in Alberta.,feverrefuted,very high
121,Timothy Olyphant was not born in 1968.,feverrefuted,high
122,Sean Connery did not act in The Rock.,feverrefuted,high
123,Jeremy Allen White is an American television director.,feverrefuted,high
124,Jerry Goldsmith failed to collaborate with anybody during his career.,feverrefuted,low
125,Gemma Arterton performed in the book Hansel and Grentel: Witch Hunters.,feverrefuted,high
126,"Anaheim, California is a city with smallest population in Orange County among other cities.",feverrefuted,high
127,Laurie Hernandez is European.,feverrefuted,high
128,Shraddha Kapoor refused to ever be directed by Mohit Suri.,feverrefuted,high
129,Allen Iverson didn't make it into the NBA.,feverrefuted,low
130,R. Kelly has sold over 100 million dogs worldwide.,feverrefuted,very high
131,Stockard Channing appeared in a film based on a building by Alice Hoffman.,feverrefuted,high
132,Battle Studies World Tour was a tour by a singer-songwriter born in 1934.,feverrefuted,high
133,Willie Nelson is not on an advisory board.,feverrefuted,high
134,Uzbekistan is not a member of the UN.,feverrefuted,very high
135,Pawn Sacrifice was direct by Tobey Maguire.,feverrefuted,high
136,Charles I did not marry a Bourbon princess.,feverrefuted,high
137,Paris Hilton is a Gemini.,feverrefuted,high
138,All major political forces in Azerbaijan are not secular.,feverrefuted,high
139,Linda Schuyler was uninvolved with the creation of the Degrassi series.,feverrefuted,very high
140,Father of the Bride was the third film of Kimberly Williams.,feverrefuted,high
141,The 2017 film The Mummy was based on The Reanimator by H.P. Lovecraft.,feverrefuted,high
142,American Horror Story airs on Syfy.,feverrefuted,high
143,Overwatch's production is unrelated to Blizzard Entertainment.,feverrefuted,very high
144,Fahrenheit 451 was the only movie Oskar Werner ever starred in.,feverrefuted,high
145,Zlatan Ibrahimović is incapable of playing soccer.,feverrefuted,low
146,The Night Of wasn't written by Richard Price and Steven Zaillian.,feverrefuted,very high
147,Fifth Harmony currently consists of 7 members.,feverrefuted,high
148,All the Pretty Horses is an action film.,feverrefuted,high
149,Karan Johar won two Golden Globe Awards.,feverrefuted,very high
150,Dumb and Dumber has only ever inspired a video game.,feverrefuted,high
151,Hugh Jackman avoids roles with animal names.,feverrefuted,high
152,Gone Girl is a TV show.,feverrefuted,high
153,Quartet is a brand name.,feverrefuted,high
154,The alternative history novel The Man in the High Castle is waiting to be adapted into a television series or a movie.,feverrefuted,high
155,Jodie Foster turned down the role she was offered The Silence of the Lambs.,feverrefuted,high
156,Caryn Mandabach was incapable of producing A Different World.,feverrefuted,very high
157,Cloud Atlas premiered at a 2012 film festival in Germany.,feverrefuted,high
158,Rock canyons is incapable of being part of the terrain of Kazakhstan.,feverrefuted,very high
159,The brown bear does not belong to the family Ursidae.,feverrefuted,very high
160,Diego Costa plays for Scottish club Chelsea.,feverrefuted,low
161,Oliver Reed was a squid.,feverrefuted,low
162,Lyme disease is not caused by tick bites.,feverrefuted,very high
163,Amerigo Vespucci was a dog.,feverrefuted,low
164,Page Hamilton is only a composer.,feverrefuted,high
165,Silicon Valley is in Southern California.,feverrefuted,low
166,Theodore Roosevelt was born in 1919.,feverrefuted,high
167,Michael McCary was born December of 1975.,feverrefuted,high
168,Arjun Kapoor never hosted the IIFA Awards.,feverrefuted,high
169,"Richmond, Virginia is home to zero of the 13 United States courts of appeals.",feverrefuted,high
170,The Hunger Games opening weekend did not gross at $152.5 million.,feverrefuted,high
171,A Few Good Men is directed by James Cameron.,feverrefuted,high
172,There Will Be Blood is not a film.,feverrefuted,high
173,Macaulay Culkin only appeared in movies directed by Chris Columbus.,feverrefuted,high
